date,D30:ROSN.MAB2.P1ZZC
2019-01-31,24696.0
2019-02-28,24415.0
2019-03-31,17414.0
2019-04-30,18153.0
2019-05-31,18027.0
2019-06-30,18798.0
2019-07-31,18512.0
2019-08-31,19136.0
2019-09-30,19901.0
2019-10-31,20517.0
2019-11-30,21081.0
2019-12-31,21884.0
2020-01-31,22021.0
2020-02-29,22724.0
2020-03-31,26538.0
2020-04-30,29708.0
2020-05-31,34365.0
2020-06-30,43876.0
2020-07-31,48769.0
2020-08-31,53795.0
2020-09-30,61036.0
2020-10-31,65168.0
2020-11-30,69290.0
2020-12-31,71974.0
2021-01-31,72451.0
2021-02-28,75635.0
2021-03-31,78069.0
2021-04-30,80567.0
2021-05-31,73773.0
2021-06-30,75475.0
2021-07-31,75689.0
2021-08-31,76749.0
2021-09-30,78054.0
2021-10-31,76794.0
2021-11-30,76837.0
2021-12-31,76721.0
2022-01-31,76346.0
2022-02-28,75688.0
2022-03-31,76318.0
2022-04-30,77171.0
2022-05-31,77461.0
2022-06-30,77346.0
2022-07-31,76916.0
2022-08-31,77181.0
2022-09-30,78164.0
2022-10-31,77412.0
2022-11-30,77511.0
2022-12-31,76681.0
2023-01-31,75910.0
2023-02-28,77129.0
2023-03-31,79393.0
2023-04-30,66202.0
2023-05-31,65719.0
2023-06-30,64993.0
2023-07-31,68248.0
2023-08-31,68293.0
2023-09-30,69538.0
2023-10-31,70545.0
2023-11-30,70903.0
2023-12-31,69910.0
2024-01-31,69504.0
2024-02-29,70383.0
2024-03-31,70812.0
2024-04-30,73528.0
2024-05-31,65182.0
2024-06-30,68166.0
2024-07-31,70091.0
2024-08-31,72723.0
2024-09-30,71471.0
2024-10-31,72380.0
2024-11-30,72631.0
2024-12-31,72074.0
2025-01-31,71905.0
2025-02-28,74056.0
2025-03-31,74359.0
2025-04-30,65727.0
2025-05-31,65095.0
2025-06-30,63688.0
2025-07-31,65969.0
2025-08-31,67829.0
2025-09-30,71633.0
2025-10-31,69798.0
2025-11-30,73232.0
2025-12-31,74708.0
2026-01-31,77631.0
2026-02-28,75690.0
2026-03-31,77130.0
2026-04-30,76335.0
2026-05-31,70792.0
2026-06-30,75175.0
2026-07-31,75827.0
