date,D9:BTO.WAF.N2605
2023-12-15,1888.0
2023-12-22,2121.0
2023-12-29,1929.0
2024-01-05,1610.0
2024-01-12,2090.0
2024-01-19,2131.0
2024-01-26,1760.0
2024-02-02,1332.0
2024-02-09,1345.0
2024-02-16,1408.0
2024-02-23,1189.0
2024-03-01,1924.0
2024-03-08,993.0
2024-03-15,841.0
2024-03-22,2050.0
2024-03-29,1657.0
2024-04-05,1367.0
2024-04-12,1777.0
2024-04-19,1816.0
2024-04-26,731.0
2024-05-03,626.0
2024-05-10,1320.0
2024-05-17,1477.0
2024-05-24,1352.0
2024-05-31,512.0
2024-06-07,680.0
2024-06-14,622.0
2024-06-21,1063.0
2024-06-28,1323.0
2024-07-05,1307.0
2024-07-12,1533.0
2024-07-19,2602.0
2024-07-26,3524.0
2024-08-02,4425.0
2024-08-09,3627.0
2024-08-16,3538.0
2024-08-23,4178.0
2024-08-30,5422.0
2024-09-06,4044.0
2024-09-13,2226.0
2024-09-20,2144.0
2024-09-27,1894.0
2024-10-04,2911.0
2024-10-11,2593.0
2024-10-18,3192.0
2024-10-25,3516.0
2024-11-01,3793.0
2024-11-08,4477.0
2024-11-15,2643.0
2024-11-22,2091.0
2024-11-29,1891.0
2024-12-06,3725.0
2024-12-13,4438.0
2024-12-20,6541.0
2024-12-27,3714.0
2025-01-03,2512.0
2025-01-10,5940.0
2025-01-17,1838.0
2025-01-24,3381.0
2025-01-31,1115.0
2025-02-07,2926.0
2025-02-14,3888.0
2025-02-21,5541.0
2025-02-28,3737.0
2025-03-07,4223.0
2025-03-14,2784.0
2025-03-21,4202.0
2025-03-28,3262.0
2025-04-04,3272.0
2025-04-11,3973.0
2025-04-18,3475.0
2025-04-25,1497.0
2025-05-02,3686.0
2025-05-09,1637.0
2025-05-16,3351.0
2025-05-23,5326.0
2025-05-30,7270.0
2025-06-06,6471.0
2025-06-13,6799.0
2025-06-20,4822.0
2025-06-27,5842.0
2025-07-04,5169.0
2025-07-11,8722.0
2025-07-18,5434.0
2025-07-25,4109.0
2025-08-01,4532.0
2025-08-08,5042.0
2025-08-15,5526.0
2025-08-22,4121.0
2025-08-29,2886.0
2025-09-05,2957.0
2025-09-12,2698.0
2025-09-19,1794.0
2025-09-26,2994.0
2025-10-03,3453.0
2025-10-10,976.0
2025-10-17,666.0
2025-10-24,1613.0
2025-10-31,442.0
2025-11-07,4407.0
2025-11-14,4985.0
2025-11-21,1353.0
2025-11-28,3402.0
2025-12-05,2555.0
2025-12-12,2421.0
2025-12-19,1435.0
2025-12-26,665.0
2026-01-02,679.0
2026-01-09,1917.0
2026-01-16,2400.0
2026-01-23,1742.0
2026-01-30,2846.0
2026-02-06,1501.0
2026-02-13,1423.0
2026-02-20,772.0
2026-02-27,1108.0
2026-03-06,856.0
2026-03-13,1215.0
2026-03-20,1853.0
2026-03-27,1332.0
2026-04-03,2470.0
2026-04-10,2016.0
2026-04-17,1637.0
2026-04-24,1267.0
2026-05-01,786.0
2026-05-08,2164.0
2026-05-15,1189.0
