date,C5:CRDS.MALP3
2019-01-31,113550.0
2019-02-28,114402.0
2019-03-31,115468.0
2019-04-30,115901.0
2019-05-31,115735.0
2019-06-30,116752.0
2019-07-31,117517.0
2019-08-31,117701.0
2019-09-30,118229.0
2019-10-31,119910.0
2019-11-30,120448.0
2019-12-31,120347.0
2020-01-31,121035.0
2020-02-29,121511.0
2020-03-31,123048.0
2020-04-30,123210.0
2020-05-31,121866.0
2020-06-30,119932.0
2020-07-31,117944.0
2020-08-31,117448.0
2020-09-30,116838.0
2020-10-31,116221.0
2020-11-30,116089.0
2020-12-31,115987.0
2021-01-31,116223.0
2021-02-28,116192.0
2021-03-31,116339.0
2021-04-30,116284.0
2021-05-31,116745.0
2021-06-30,118131.0
2021-07-31,118454.0
2021-08-31,119254.0
2021-09-30,120255.0
2021-10-31,121735.0
2021-11-30,123005.0
2021-12-31,123136.0
2022-01-31,123746.0
2022-02-28,125385.0
2022-03-31,125814.0
2022-04-30,126984.0
2022-05-31,127610.0
2022-06-30,128629.0
2022-07-31,128850.0
2022-08-31,129620.0
2022-09-30,131254.0
2022-10-31,131802.0
2022-11-30,133310.0
2022-12-31,132925.0
2023-01-31,132171.0
2023-02-28,132651.0
2023-03-31,132135.0
2023-04-30,132762.0
2023-05-31,132137.0
2023-06-30,132656.0
2023-07-31,131547.0
2023-08-31,131942.0
2023-09-30,132325.0
2023-10-31,133876.0
2023-11-30,133376.0
2023-12-31,133575.0
2024-01-31,133881.0
2024-02-29,134721.0
2024-03-31,134986.0
2024-04-30,134786.0
2024-05-31,135967.0
2024-06-30,135499.0
2024-07-31,134446.0
2024-08-31,135255.0
2024-09-30,134907.0
2024-10-31,135429.0
2024-11-30,137215.0
2024-12-31,137568.0
2025-01-31,138458.0
2025-02-28,138240.0
2025-03-31,137088.0
2025-04-30,136694.0
2025-05-31,136504.0
2025-06-30,136783.0
2025-07-31,136804.0
2025-08-31,137940.0
2025-09-30,139618.0
2025-10-31,142005.0
2025-11-30,141977.0
2025-12-31,142668.0
2026-01-31,142853.0
2026-02-28,142758.0
2026-03-31,142664.0
2026-04-30,142612.0
2026-05-31,143128.0
2026-06-30,143139.0
2026-07-31,142861.0
