date,D30:ROSN.MAF1.P2
2019-01-31,16500.0
2019-02-28,16600.0
2019-03-31,16700.0
2019-04-30,16800.0
2019-05-31,16900.0
2019-06-30,17000.0
2019-07-31,17050.0
2019-08-31,17100.0
2019-09-30,17150.0
2019-10-31,17200.0
2019-11-30,17250.0
2019-12-31,17300.0
2020-01-31,17300.0
2020-02-29,17350.0
2020-03-31,17400.0
2020-04-30,17400.0
2020-05-31,17230.0
2020-06-30,16920.0
2020-07-31,16700.0
2020-08-31,16557.0
2020-09-30,16157.0
2020-10-31,16013.0
2020-11-30,15988.0
2020-12-31,15983.0
2021-01-31,15988.0
2021-02-28,15953.0
2021-03-31,15983.0
2021-04-30,16083.0
2021-05-31,16183.0
2021-06-30,16283.0
2021-07-31,16383.0
2021-08-31,16483.0
2021-09-30,16483.0
2021-10-31,16483.0
2021-11-30,16483.0
2021-12-31,16483.0
2022-01-31,16483.0
2022-02-28,16483.0
2022-03-31,16563.0
2022-04-30,16563.0
2022-05-31,16613.0
2022-06-30,16643.0
2022-07-31,16673.0
2022-08-31,17733.0
2022-09-30,17733.0
2022-10-31,17733.0
2022-11-30,17793.0
2022-12-31,17793.0
2023-01-31,17793.0
2023-02-28,17793.0
2023-03-31,17793.0
2023-04-30,17793.0
2023-05-31,17853.0
2023-06-30,17853.0
2023-07-31,17853.0
2023-08-31,17853.0
2023-09-30,17883.0
2023-10-31,17883.0
2023-11-30,17913.0
2023-12-31,17943.0
2024-01-31,18018.0
2024-02-29,18098.0
2024-03-31,18098.0
2024-04-30,18128.0
2024-05-31,18128.0
2024-06-30,18128.0
2024-07-31,18153.0
2024-08-31,18203.0
2024-09-30,18253.0
2024-10-31,18303.0
2024-11-30,17953.0
2024-12-31,17753.0
2025-01-31,17702.0
2025-02-28,17732.0
2025-03-31,17822.0
2025-04-30,17897.0
2025-05-31,17947.0
2025-06-30,18022.0
2025-07-31,18047.0
2025-08-31,18097.0
2025-09-30,17743.0
2025-10-31,17768.0
2025-11-30,17818.0
2025-12-31,17843.0
2026-01-31,17868.0
2026-02-28,17918.0
2026-03-31,17993.0
2026-04-30,17993.0
2026-05-31,18018.0
2026-06-30,18043.0
2026-07-31,18068.0
