date,C5:CRD.MNA301
2019-01-31,8355.0
2019-02-28,8369.0
2019-03-31,8439.0
2019-04-30,8472.0
2019-05-31,8528.0
2019-06-30,8563.0
2019-07-31,8587.0
2019-08-31,8627.0
2019-09-30,8623.0
2019-10-31,8661.0
2019-11-30,8760.0
2019-12-31,8916.0
2020-01-31,8994.0
2020-02-29,9008.0
2020-03-31,9036.0
2020-04-30,8781.0
2020-05-31,8732.0
2020-06-30,8726.0
2020-07-31,8662.0
2020-08-31,8686.0
2020-09-30,9801.0
2020-10-31,9833.0
2020-11-30,9928.0
2020-12-31,10081.0
2021-01-31,10100.0
2021-02-28,10173.0
2021-03-31,10300.0
2021-04-30,10422.0
2021-05-31,10579.0
2021-06-30,10740.0
2021-07-31,10881.0
2021-08-31,10897.0
2021-09-30,10898.0
2021-10-31,11043.0
2021-11-30,11262.0
2021-12-31,11451.0
2022-01-31,11599.0
2022-02-28,11722.0
2022-03-31,11953.0
2022-04-30,12102.0
2022-05-31,12212.0
2022-06-30,12322.0
2022-07-31,12408.0
2022-08-31,12468.0
2022-09-30,12488.0
2022-10-31,12522.0
2022-11-30,12529.0
2022-12-31,12600.0
2023-01-31,12567.0
2023-02-28,12543.0
2023-03-31,12499.0
2023-04-30,12443.0
2023-05-31,12319.0
2023-06-30,12253.0
2023-07-31,12135.0
2023-08-31,12079.0
2023-09-30,12017.0
2023-10-31,11919.0
2023-11-30,11945.0
2023-12-31,13288.0
2024-01-31,13210.0
2024-02-29,13129.0
2024-03-31,13100.0
2024-04-30,13093.0
2024-05-31,12932.0
2024-06-30,12814.0
2024-07-31,12801.0
2024-08-31,12742.0
2024-09-30,12652.0
2024-10-31,12617.0
2024-11-30,12405.0
2024-12-31,12237.0
2025-01-31,12201.0
2025-02-28,12186.0
2025-03-31,12106.0
2025-04-30,12059.0
2025-05-31,12050.0
2025-06-30,11819.0
2025-07-31,11802.0
2025-08-31,11831.0
2025-09-30,11859.0
2025-10-31,11862.0
2025-11-30,12020.0
2025-12-31,12005.0
2026-01-31,12097.0
2026-02-28,12148.0
2026-03-31,12185.0
2026-04-30,12176.0
2026-05-31,12261.0
2026-06-30,12295.0
2026-07-31,12297.0
