date,D30:ROSN.MAB2.P1ZZB
2019-01-31,9.0
2019-02-28,9.0
2019-03-31,1.0
2019-04-30,1.0
2019-05-31,1.0
2019-06-30,1.0
2019-07-31,1.0
2019-08-31,1.0
2019-09-30,1.0
2019-10-31,1.0
2019-11-30,1.0
2019-12-31,1.0
2020-01-31,1.0
2020-02-29,1.0
2020-03-31,6.0
2020-04-30,6.0
2020-05-31,6.0
2020-06-30,6.0
2020-07-31,6.0
2020-08-31,6.0
2020-09-30,6.0
2020-10-31,6.0
2020-11-30,5.0
2020-12-31,7.0
2021-01-31,7.0
2021-02-28,5.0
2021-03-31,5.0
2021-04-30,5.0
2021-05-31,1.0
2021-06-30,1.0
2021-07-31,1.0
2021-08-31,1.0
2021-09-30,1.0
2021-10-31,1.0
2021-11-30,1.0
2021-12-31,1.0
2022-01-31,1.0
2022-02-28,1.0
2022-03-31,1.0
2022-04-30,1.0
2022-05-31,1.0
2022-06-30,1.0
2022-07-31,1.0
2022-08-31,1.0
2022-09-30,1.0
2022-10-31,1.0
2022-11-30,1.0
2022-12-31,1.0
2023-01-31,1.0
2023-02-28,1.0
2023-03-31,2.0
2023-04-30,10.0
2023-05-31,9.0
2023-06-30,9.0
2023-07-31,10.0
2023-08-31,27.0
2023-09-30,29.0
2023-10-31,30.0
2023-11-30,40.0
2023-12-31,41.0
2024-01-31,45.0
2024-02-29,48.0
2024-03-31,47.0
2024-04-30,49.0
2024-05-31,46.0
2024-06-30,47.0
2024-07-31,54.0
2024-08-31,56.0
2024-09-30,56.0
2024-10-31,60.0
2024-11-30,55.0
2024-12-31,53.0
2025-01-31,54.0
2025-02-28,56.0
2025-03-31,56.0
2025-04-30,43.0
2025-05-31,43.0
2025-06-30,47.0
2025-07-31,45.0
2025-08-31,45.0
2025-09-30,47.0
2025-10-31,53.0
2025-11-30,63.0
2025-12-31,94.0
2026-01-31,94.0
2026-02-28,69.0
2026-03-31,66.0
2026-04-30,66.0
2026-05-31,56.0
2026-06-30,56.0
2026-07-31,64.0
