date,D3:lsap_sales
2022-07-19,415.0
2022-08-17,415.0
2022-09-19,415.0
2022-10-19,415.0
2022-11-17,415.0
2022-12-19,415.0
2023-01-18,415.0
2023-02-17,415.0
2023-03-17,415.0
2023-04-19,415.0
2023-05-17,415.0
2023-06-19,435.0
2023-07-19,415.0
2023-08-17,415.0
2023-09-19,415.0
2023-10-18,415.0
2023-11-17,415.0
2023-11-19,415.0
2024-01-17,415.0
2024-02-19,415.0
2024-03-19,415.0
2024-04-17,415.0
2024-05-17,415.0
2024-06-19,435.0
2024-07-17,415.0
2024-08-19,415.0
2024-09-18,415.0
2024-10-17,415.0
2024-11-19,415.0
2024-12-18,415.0
2025-01-17,415.0
2025-02-19,415.0
2025-03-19,415.0
2025-04-17,415.0
2025-05-19,415.0
2025-06-18,435.0
2025-07-17,415.0
2025-08-19,415.0
2025-09-17,415.0
2025-10-17,415.0
2025-11-19,415.0
2025-12-17,415.0
2026-01-19,415.0
2026-02-18,415.0
2026-03-18,415.0
2026-04-17,415.0
2026-05-19,415.0
2026-06-17,435.0
2026-07-17,415.0
2026-08-19,415.0
2026-09-14,30.25
