date,R1:RBNZ.MRL103
2019-01-31,528.0
2019-02-28,602.0
2019-03-31,622.0
2019-04-30,824.0
2019-05-31,951.0
2019-06-30,720.0
2019-07-31,835.0
2019-08-31,1460.0
2019-09-30,1426.0
2019-10-31,1021.0
2019-11-30,930.0
2019-12-31,634.0
2020-01-31,1135.0
2020-02-29,1819.0
2020-03-31,2502.0
2020-04-30,1622.0
2020-05-31,1314.0
2020-06-30,1073.0
2020-07-31,1044.0
2020-08-31,968.0
2020-09-30,734.0
2020-10-31,681.0
2020-11-30,424.0
2020-12-31,408.0
2021-01-31,339.0
2021-02-28,315.0
2021-03-31,406.0
2021-04-30,343.0
2021-05-31,330.0
2021-06-30,424.0
2021-07-31,451.0
2021-08-31,382.0
2021-09-30,506.0
2021-10-31,300.0
2021-11-30,610.0
2021-12-31,579.0
2022-01-31,852.0
2022-02-28,588.0
2022-03-31,387.0
2022-04-30,969.0
2022-05-31,865.0
2022-06-30,1327.0
2022-07-31,2553.0
2022-08-31,1508.0
2022-09-30,2744.0
2022-10-31,2170.0
2022-11-30,1291.0
2022-12-31,1459.0
2023-01-31,1036.0
2023-02-28,1406.0
2023-03-31,1260.0
2023-04-30,1426.0
2023-05-31,1816.0
2023-06-30,1493.0
2023-07-31,1308.0
2023-08-31,1843.0
2023-09-30,1722.0
2023-10-31,2197.0
2023-11-30,1376.0
2023-12-31,1294.0
2024-01-31,1400.0
2024-02-29,1436.0
2024-03-31,1782.0
2024-04-30,1949.0
2024-05-31,1225.0
2024-06-30,1328.0
2024-07-31,1960.0
2024-08-31,1073.0
2024-09-30,839.0
2024-10-31,1587.0
2024-11-30,1866.0
2024-12-31,3352.0
2025-01-31,3019.0
2025-02-28,3368.0
2025-03-31,2759.0
2025-04-30,1748.0
2025-05-31,1288.0
2025-06-30,1054.0
2025-07-31,1669.0
2025-08-31,1667.0
2025-09-30,2097.0
2025-10-31,2365.0
2025-11-30,2259.0
2025-12-31,2115.0
2026-01-31,1219.0
2026-02-28,1209.0
2026-03-31,2221.0
2026-04-30,1648.0
2026-05-31,1339.0
2026-06-30,2579.0
2026-07-31,1840.0
