date,NZDM:bond_allocation_ratio
2019-01-17,1.0
2019-01-24,1.0
2019-01-31,1.0
2019-02-14,1.0
2019-02-21,1.0
2019-02-26,1.0
2019-03-14,1.0
2019-03-21,1.0
2019-03-28,1.0
2019-04-11,1.0
2019-04-18,1.0
2019-05-09,1.0
2019-05-16,1.0
2019-05-23,1.0
2019-06-13,1.0
2019-06-20,1.0
2019-06-27,1.0
2019-07-11,1.0
2019-07-18,1.0
2019-07-25,1.0
2019-08-08,1.0
2019-08-15,1.0
2019-08-22,1.0
2019-09-12,1.0
2019-09-26,1.0
2019-10-10,1.0
2019-10-17,1.0
2019-10-24,1.0
2019-10-31,1.0
2019-11-14,1.0
2019-11-21,1.0
2019-11-28,1.0
2019-12-12,1.0
2020-01-16,1.0
2020-01-23,1.0
2020-01-30,1.0
2020-02-13,1.0
2020-02-20,1.0
2020-02-27,1.0
2020-03-12,1.0
2020-03-19,1.0
2020-03-26,1.0
2020-04-02,1.0
2020-04-16,1.0
2020-04-23,1.0
2020-04-30,1.0
2020-05-07,1.0
2020-05-15,1.0
2020-05-21,1.0
2020-05-28,1.0
2020-06-04,1.0
2020-06-11,1.0
2020-06-25,1.0
2020-07-02,1.0
2020-07-09,1.0
2020-07-23,1.0
2020-07-30,1.0
2020-08-06,1.0
2020-08-13,1.0
2020-08-21,1.0
2020-09-03,1.0
2020-09-10,1.0
2020-09-17,1.0
2020-09-24,1.0
2020-10-01,1.0
2020-10-08,1.0
2020-10-15,1.0
2020-10-22,1.0
2020-11-05,1.0
2020-11-12,1.0
2020-11-19,1.0
2020-11-26,1.0
2020-12-03,1.0
2020-12-10,1.0
2020-12-17,1.0
2021-01-14,1.0
2021-01-21,1.0
2021-01-28,1.0
2021-02-11,1.0
2021-02-18,1.0
2021-02-25,1.0
2021-03-04,1.0
2021-03-11,1.0
2021-03-18,1.0
2021-03-25,1.0
2021-04-01,1.0
2021-04-08,1.0
2021-04-15,1.0
2021-04-22,1.0
2021-04-29,1.0
2021-05-06,1.0
2021-05-13,1.0
2021-05-21,1.0
2021-05-27,1.0
2021-06-03,1.0
2021-06-17,1.0
2021-06-24,1.0
2021-07-01,1.0
2021-07-08,1.0
2021-07-15,1.0
2021-07-22,1.0
2021-07-29,1.0
2021-08-05,1.0
2021-08-12,1.0
2021-08-19,1.0
2021-08-26,1.0
2021-09-02,1.0
2021-09-09,1.0
2021-09-23,1.0
2021-09-30,1.0
2021-10-07,1.0
2021-10-14,1.0
2021-10-21,1.0
2021-10-28,1.0
2021-11-04,1.0
2021-11-11,1.0
2021-11-16,1.0
2021-11-25,1.0
2021-12-02,1.0
2021-12-09,1.0
2021-12-16,1.0
2022-01-20,1.0
2022-01-27,1.0
2022-02-03,1.0
2022-02-10,1.0
2022-02-17,1.0
2022-02-24,1.0
2022-03-03,1.0
2022-03-10,1.0
2022-03-17,1.0
2022-03-24,1.0
2022-03-31,1.0
2022-04-07,1.0
2022-04-21,1.0
2022-04-28,1.0
2022-05-05,1.0
2022-05-12,1.0
2022-05-20,1.0
2022-05-26,1.0
2022-06-02,1.0
2022-06-09,1.0
2022-06-16,1.0
2022-06-23,1.0
2022-06-30,1.0
2022-07-07,1.0
2022-07-14,1.0
2022-07-21,1.0
2022-07-28,1.0
2022-08-04,1.0
2022-08-11,1.0
2022-08-18,1.0
2022-09-01,1.0
2022-09-08,1.0
2022-09-15,1.0
2022-09-22,1.0
2022-09-29,1.0
2022-10-06,1.0
2022-10-13,1.0
2022-10-20,1.0
2022-10-27,1.0
2022-11-03,1.0
2022-11-10,1.0
2022-11-24,1.0
2022-12-01,0.973
2022-12-08,1.0
2022-12-15,1.0
2023-01-19,1.0
2023-01-26,1.0
2023-02-02,1.0
2023-02-09,0.97
2023-02-16,1.0
2023-02-23,1.0
2023-03-02,1.0
2023-03-16,1.0
2023-03-23,1.0
2023-03-30,1.0
2023-04-06,1.0
2023-04-13,1.0
2023-04-20,1.0
2023-04-27,1.0
2023-05-04,1.0
2023-05-11,1.0
2023-05-19,1.0
2023-05-25,1.0
2023-06-01,1.0
2023-06-08,1.0
2023-06-15,1.0
2023-06-22,1.0
2023-06-29,1.0
2023-07-13,1.0
2023-07-20,1.0
2023-07-27,1.0
2023-08-03,1.0
2023-08-10,1.0
2023-08-17,1.0
2023-08-24,1.0
2023-08-31,1.0
2023-09-07,1.0
2023-09-14,1.0
2023-09-21,1.0
2023-09-28,1.0
2023-10-05,1.0
2023-10-12,1.0
2023-10-20,1.0
2023-10-26,1.0
2023-11-02,1.0
2023-11-09,1.0
2023-11-16,1.0
2023-11-23,1.0
2023-11-30,1.0
2023-12-07,1.0
2023-12-14,1.0
2024-01-18,1.0
2024-01-25,1.0
2024-02-01,1.0
2024-02-08,1.0
2024-02-15,1.0
2024-02-29,1.0
2024-03-07,1.0
2024-03-14,1.0
2024-03-21,1.0
2024-03-28,1.0
2024-04-11,1.0
2024-04-18,1.0
2024-04-24,1.0
2024-05-02,1.0
2024-05-09,1.0
2024-05-16,1.0
2024-05-23,1.0
2024-05-31,1.0
2024-06-13,1.0
2024-06-20,1.0
2024-06-27,1.0
2024-07-04,0.988
2024-07-11,1.0
2024-07-18,1.0
2024-07-25,1.0
2024-08-01,1.0
2024-08-08,1.0
2024-08-15,1.0
2024-08-29,1.0
2024-09-05,1.0
2024-09-12,1.0
2024-09-19,1.0
2024-09-26,1.0
2024-10-03,1.0
2024-10-10,1.0
2024-10-17,1.0
2024-10-31,1.0
2024-11-07,1.0
2024-11-14,1.0
2024-11-21,1.0
2024-11-28,1.0
2024-12-05,1.0
2024-12-12,1.0
2025-01-16,1.0
2025-01-23,1.0
2025-01-30,1.0
2025-02-05,1.0
2025-02-20,1.0
2025-02-27,1.0
2025-03-06,1.0
2025-03-13,1.0
2025-03-20,1.0
2025-03-27,1.0
2025-04-10,1.0
2025-04-17,1.0
2025-04-24,1.0
2025-05-01,1.0
2025-05-08,1.0
2025-05-15,1.0
2025-05-23,1.0
2025-05-29,1.0
2025-06-05,1.0
2025-06-12,1.0
2025-06-19,1.0
2025-06-26,1.0
2025-07-10,1.0
2025-07-17,1.0
2025-07-24,1.0
2025-07-31,1.0
2025-08-07,1.0
2025-08-14,1.0
2025-08-21,1.0
2025-08-28,1.0
2025-09-04,1.0
2025-09-18,1.0
2025-09-25,1.0
2025-10-02,1.0
2025-10-09,1.0
2025-10-16,1.0
2025-10-23,1.0
2025-10-30,1.0
2025-11-06,1.0
2025-11-13,1.0
2025-11-27,1.0
2025-12-04,1.0
2025-12-11,1.0
2026-01-15,1.0
2026-01-22,1.0
2026-01-29,1.0
2026-02-05,1.0
2026-02-12,1.0
2026-02-19,1.0
2026-02-26,1.0
2026-03-05,1.0
2026-03-12,1.0
2026-03-19,1.0
2026-03-26,1.0
2026-04-02,1.0
2026-04-09,1.0
2026-04-16,1.0
2026-04-23,1.0
2026-04-30,1.0
2026-05-07,1.0
2026-05-14,1.0
2026-05-21,1.0
2026-05-29,1.0
2026-06-04,1.0
2026-06-11,1.0
2026-06-18,1.0
2026-06-25,1.0
2026-07-02,1.0
2026-07-09,1.0
2026-07-23,1.0
2026-07-30,1.0
2026-08-06,1.0
2026-08-13,1.0
2026-08-20,1.0
2026-08-27,1.0
2026-09-03,1.0
2026-09-10,1.0
