date,C50:MCA.MDB.C33
2019-01-31,161214.0
2019-02-28,162128.0
2019-03-31,162998.0
2019-04-30,162362.0
2019-05-31,163699.0
2019-06-30,164922.0
2019-07-31,165722.0
2019-08-31,166654.0
2019-09-30,165881.0
2019-10-31,165440.0
2019-11-30,164607.0
2019-12-31,164380.0
2020-01-31,163157.0
2020-02-29,164337.0
2020-03-31,160000.0
2020-04-30,157725.0
2020-05-31,157405.0
2020-06-30,157030.0
2020-07-31,156987.0
2020-08-31,154383.0
2020-09-30,151963.0
2020-10-31,149542.0
2020-11-30,145600.0
2020-12-31,143499.0
2021-01-31,140193.0
2021-02-28,137173.0
2021-03-31,134343.0
2021-04-30,132915.0
2021-05-31,130259.0
2021-06-30,129683.0
2021-07-31,130682.0
2021-08-31,129370.0
2021-09-30,128845.0
2021-10-31,128542.0
2021-11-30,129031.0
2021-12-31,132538.0
2022-01-31,131479.0
2022-02-28,132968.0
2022-03-31,132997.0
2022-04-30,134419.0
2022-05-31,137096.0
2022-06-30,139172.0
2022-07-31,143360.0
2022-08-31,146867.0
2022-09-30,147983.0
2022-10-31,151038.0
2022-11-30,154366.0
2022-12-31,159708.0
2023-01-31,161345.0
2023-02-28,163093.0
2023-03-31,165482.0
2023-04-30,168154.0
2023-05-31,170603.0
2023-06-30,173134.0
2023-07-31,175792.0
2023-08-31,178312.0
2023-09-30,179325.0
2023-10-31,180219.0
2023-11-30,182860.0
2023-12-31,185185.0
2024-01-31,185624.0
2024-02-29,186806.0
2024-03-31,187188.0
2024-04-30,188118.0
2024-05-31,190010.0
2024-06-30,190464.0
2024-07-31,193388.0
2024-08-31,195779.0
2024-09-30,196192.0
2024-10-31,196951.0
2024-11-30,197944.0
2024-12-31,200208.0
2025-01-31,200182.0
2025-02-28,200137.0
2025-03-31,198529.0
2025-04-30,198233.0
2025-05-31,199523.0
2025-06-30,199159.0
2025-07-31,201446.0
2025-08-31,202296.0
2025-09-30,199469.0
2025-10-31,199400.0
2025-11-30,198365.0
2025-12-31,199388.0
2026-01-31,198327.0
2026-02-28,199383.0
2026-03-31,203302.0
2026-04-30,201364.0
2026-05-31,203262.0
2026-06-30,203921.0
2026-07-31,206706.0
