date,C50:MCA.MDC.G2
2019-01-31,23855.0
2019-02-28,25101.0
2019-03-31,15240.0
2019-04-30,14237.0
2019-05-31,17385.0
2019-06-30,15999.0
2019-07-31,12964.0
2019-08-31,15540.0
2019-09-30,15463.0
2019-10-31,14973.0
2019-11-30,14476.0
2019-12-31,13485.0
2020-01-31,19428.0
2020-02-29,19338.0
2020-03-31,15650.0
2020-04-30,14877.0
2020-05-31,23021.0
2020-06-30,30157.0
2020-07-31,32962.0
2020-08-31,37862.0
2020-09-30,42503.0
2020-10-31,43068.0
2020-11-30,45778.0
2020-12-31,42108.0
2021-01-31,50830.0
2021-02-28,52919.0
2021-03-31,55577.0
2021-04-30,56195.0
2021-05-31,52641.0
2021-06-30,53758.0
2021-07-31,52442.0
2021-08-31,54609.0
2021-09-30,54808.0
2021-10-31,51800.0
2021-11-30,49012.0
2021-12-31,41007.0
2022-01-31,47666.0
2022-02-28,47801.0
2022-03-31,43946.0
2022-04-30,39949.0
2022-05-31,46370.0
2022-06-30,45504.0
2022-07-31,44390.0
2022-08-31,46216.0
2022-09-30,45199.0
2022-10-31,45503.0
2022-11-30,45105.0
2022-12-31,40295.0
2023-01-31,46565.0
2023-02-28,47140.0
2023-03-31,50644.0
2023-04-30,31934.0
2023-05-31,37732.0
2023-06-30,35740.0
2023-07-31,35469.0
2023-08-31,38945.0
2023-09-30,39007.0
2023-10-31,38140.0
2023-11-30,39241.0
2023-12-31,34910.0
2024-01-31,40833.0
2024-02-29,44493.0
2024-03-31,44456.0
2024-04-30,48148.0
2024-05-31,39042.0
2024-06-30,43359.0
2024-07-31,41418.0
2024-08-31,48720.0
2024-09-30,45572.0
2024-10-31,46884.0
2024-11-30,44586.0
2024-12-31,41937.0
2025-01-31,49087.0
2025-02-28,53551.0
2025-03-31,50955.0
2025-04-30,36660.0
2025-05-31,39438.0
2025-06-30,36977.0
2025-07-31,37959.0
2025-08-31,39358.0
2025-09-30,39471.0
2025-10-31,38915.0
2025-11-30,41090.0
2025-12-31,35467.0
2026-01-31,43154.0
2026-02-28,40761.0
2026-03-31,43105.0
2026-04-30,42979.0
2026-05-31,40910.0
2026-06-30,41292.0
2026-07-31,41983.0
