date,D3:rr_omo_allocated
2026-04-02,2721.0
2026-04-09,3990.0
2026-04-16,2710.0
2026-04-23,2894.0
2026-04-30,3355.0
2026-05-07,9022.0
2026-05-14,4610.0
2026-05-21,4175.0
2026-05-28,4525.0
2026-06-04,3725.0
2026-06-11,2483.0
2026-06-18,4232.0
2026-06-25,5160.0
2026-07-02,2810.0
2026-07-09,2855.0
2026-07-16,4605.0
2026-07-23,6685.0
2026-07-30,3935.0
2026-08-06,2306.0
2026-08-13,3210.0
2026-08-20,4725.0
2026-08-27,9560.0
2026-09-03,5068.0
2026-09-10,6340.0
