date,D10:avg_settlement_cash
2019-01-31,7417.2
2019-02-28,7214.0
2019-03-29,7283.0
2019-04-30,7590.5
2019-05-31,7462.2
2019-06-28,7639.9
2019-07-31,7763.7
2019-08-30,7551.4
2019-09-30,7640.8
2019-10-31,7296.5
2019-11-29,7553.3
2019-12-31,7458.4
2020-01-31,7430.4
2020-02-28,7799.8
2020-03-31,12347.0
2020-04-30,28445.0
2020-05-29,28856.4
2020-06-30,26968.5
2020-07-31,25451.8
2020-08-31,22591.7
2020-09-30,19480.6
2020-10-30,23032.1
2020-11-30,24077.2
2020-12-31,26579.9
2021-01-29,27722.1
2021-02-26,25431.2
2021-03-31,26924.7
2021-04-30,29564.9
2021-05-31,30515.1
2021-06-30,33001.3
2021-07-30,35456.8
2021-08-31,35986.9
2021-09-30,35068.5
2021-10-29,37716.3
2021-11-30,39793.6
2021-12-31,41903.0
2022-01-31,43427.4
2022-02-28,42756.8
2022-03-31,45437.1
2022-04-29,48082.4
2022-05-31,46379.3
2022-06-30,48941.0
2022-07-29,52400.9
2022-08-31,50914.3
2022-09-30,48675.2
2022-10-31,52555.6
2022-11-30,52392.6
2022-12-30,54219.5
2023-01-31,53970.2
2023-02-28,50528.0
2023-03-31,49379.7
2023-04-28,53031.0
2023-05-31,51664.6
2023-06-30,52251.0
2023-07-31,54150.0
2023-08-31,54714.4
2023-09-29,52118.8
2023-10-31,53137.5
2023-11-30,50980.1
2023-12-29,53893.0
2024-01-31,50084.1
2024-02-29,45710.5
2024-03-29,46685.1
2024-04-30,44896.5
2024-05-31,42530.7
2024-06-27,42075.9
2024-07-31,43185.6
2024-08-30,43134.9
2024-09-30,35869.1
2024-10-31,38282.5
2024-11-29,39140.4
2024-12-31,40035.0
2025-01-31,39111.7
2025-02-28,38328.5
2025-03-31,34920.0
2025-04-30,36518.0
2025-05-30,34926.0
2025-06-30,38032.0
2025-07-31,36920.3
2025-08-29,34491.1
2025-09-30,31182.7
2025-10-31,30138.9
2025-11-28,31616.4
2025-12-31,30107.0
2026-01-30,29089.2
2026-02-27,28888.5
2026-03-31,29332.7
2026-04-30,29413.5
2026-05-29,26219.0
2026-06-30,28172.0
2026-07-31,28302.9
