date,R3:UGEN.MR70082
2019-01-31,83.0
2019-02-28,49.0
2019-03-31,41.0
2019-04-30,24.0
2019-05-31,22.0
2019-06-30,57.0
2019-07-31,16.0
2019-08-31,7.0
2019-09-30,5.0
2019-10-31,7.0
2019-11-30,9.0
2019-12-31,63.0
2020-01-31,6.0
2020-02-29,0.0
2020-03-31,60.0
2020-04-30,55.0
2020-05-31,83.0
2020-06-30,30.0
2020-07-31,106.0
2020-08-31,118.0
2020-09-30,33.0
2020-10-31,28.0
2020-11-30,98.0
2020-12-31,137.0
2021-01-31,149.0
2021-02-28,570.0
2021-03-31,94.0
2021-04-30,143.0
2021-05-31,171.0
2021-06-30,90.0
2021-07-31,90.0
2021-08-31,101.0
2021-09-30,88.0
2021-10-31,131.0
2021-11-30,64.0
2021-12-31,72.0
2022-01-31,29.0
2022-02-28,65.0
2022-03-31,113.0
2022-04-30,21.0
2022-05-31,18.0
2022-06-30,7.0
2022-07-31,1276.0
2022-08-31,2.0
2022-09-30,24.0
2022-10-31,14.0
2022-11-30,20.0
2022-12-31,16.0
2023-01-31,38.0
2023-02-28,16.0
2023-03-31,26.0
2023-04-30,16.0
2023-05-31,14.0
2023-06-30,13.0
2023-07-31,20.0
2023-08-31,5.0
2023-09-30,13.0
2023-10-31,14.0
2023-11-30,88.0
2023-12-31,175.0
2024-01-31,75.0
2024-02-29,69.0
2024-03-31,28.0
2024-04-30,11.0
2024-05-31,213.0
2024-06-30,76.0
2024-07-31,26.0
2024-08-31,211.0
2024-09-30,332.0
2024-10-31,34.0
2024-11-30,34.0
2024-12-31,17.0
2025-01-31,0.0
2025-02-28,2.0
2025-03-31,1.0
2025-04-30,68.0
2025-05-31,127.0
2025-06-30,168.0
2025-07-31,50.0
2025-08-31,53.0
2025-09-30,18.0
2025-10-31,7.0
2025-11-30,16.0
2025-12-31,16.0
2026-01-31,192.0
2026-02-28,159.0
2026-03-31,29.0
2026-04-30,90.0
2026-05-31,112.0
2026-06-30,-3.0
2026-07-31,117.0
