date,C50:MCA.MDB.C31
2019-01-31,62633.0
2019-02-28,63267.0
2019-03-31,64897.0
2019-04-30,66379.0
2019-05-31,65501.0
2019-06-30,67230.0
2019-07-31,68422.0
2019-08-31,66548.0
2019-09-30,69219.0
2019-10-31,69896.0
2019-11-30,72295.0
2019-12-31,73792.0
2020-01-31,72215.0
2020-02-29,73959.0
2020-03-31,84430.0
2020-04-30,89156.0
2020-05-31,88046.0
2020-06-30,89755.0
2020-07-31,91567.0
2020-08-31,96285.0
2020-09-30,96907.0
2020-10-31,98932.0
2020-11-30,102472.0
2020-12-31,107407.0
2021-01-31,103769.0
2021-02-28,107176.0
2021-03-31,111802.0
2021-04-30,114497.0
2021-05-31,113436.0
2021-06-30,114852.0
2021-07-31,119659.0
2021-08-31,117812.0
2021-09-30,122438.0
2021-10-31,126012.0
2021-11-30,129100.0
2021-12-31,133032.0
2022-01-31,128574.0
2022-02-28,128578.0
2022-03-31,131794.0
2022-04-30,132810.0
2022-05-31,130291.0
2022-06-30,128149.0
2022-07-31,126834.0
2022-08-31,125982.0
2022-09-30,124493.0
2022-10-31,123242.0
2022-11-30,123347.0
2022-12-31,120772.0
2023-01-31,115729.0
2023-02-28,115134.0
2023-03-31,114609.0
2023-04-30,114997.0
2023-05-31,111734.0
2023-06-30,112329.0
2023-07-31,112443.0
2023-08-31,110509.0
2023-09-30,110544.0
2023-10-31,110139.0
2023-11-30,111783.0
2023-12-31,112034.0
2024-01-31,108220.0
2024-02-29,107262.0
2024-03-31,109471.0
2024-04-30,109483.0
2024-05-31,106732.0
2024-06-30,109264.0
2024-07-31,108520.0
2024-08-31,107132.0
2024-09-30,107686.0
2024-10-31,108208.0
2024-11-30,110634.0
2024-12-31,113228.0
2025-01-31,110853.0
2025-02-28,110771.0
2025-03-31,113556.0
2025-04-30,116897.0
2025-05-31,115464.0
2025-06-30,116077.0
2025-07-31,118416.0
2025-08-31,115769.0
2025-09-30,120332.0
2025-10-31,121970.0
2025-11-30,122262.0
2025-12-31,125562.0
2026-01-31,121061.0
2026-02-28,123888.0
2026-03-31,128930.0
2026-04-30,128784.0
2026-05-31,125728.0
2026-06-30,128867.0
2026-07-31,129205.0
