date,D30:ROSN.MAD2.P2ZZA2
2019-01-31,34.0
2019-02-28,44.0
2019-03-31,48.0
2019-04-30,56.0
2019-05-31,34.0
2019-06-30,0.0
2019-07-31,14.0
2019-08-31,18.0
2019-09-30,10.0
2019-10-31,0.0
2019-11-30,-115.0
2019-12-31,32.0
2020-01-31,19.0
2020-02-29,0.0
2020-03-31,17.0
2020-04-30,0.0
2020-05-31,0.0
2020-06-30,30.0
2020-07-31,22.0
2020-08-31,24.0
2020-09-30,12.0
2020-10-31,2.0
2020-11-30,7.0
2020-12-31,13.0
2021-01-31,0.0
2021-02-28,0.0
2021-03-31,-42.0
2021-04-30,0.0
2021-05-31,-59.0
2021-06-30,-90.0
2021-07-31,-55.0
2021-08-31,-142.0
2021-09-30,-33.0
2021-10-31,0.0
2021-11-30,-65.0
2021-12-31,7.0
2022-01-31,0.0
2022-02-28,0.0
2022-03-31,15.0
2022-04-30,-41.0
2022-05-31,26.0
2022-06-30,236.0
2022-07-31,233.0
2022-08-31,302.0
2022-09-30,366.0
2022-10-31,146.0
2022-11-30,0.0
2022-12-31,30.0
2023-01-31,33.0
2023-02-28,98.0
2023-03-31,21.0
2023-04-30,50.0
2023-05-31,-147.0
2023-06-30,43.0
2023-07-31,10.0
2023-08-31,0.0
2023-09-30,75.0
2023-10-31,111.0
2023-11-30,75.0
2023-12-31,215.0
2024-01-31,34.0
2024-02-29,112.0
2024-03-31,110.0
2024-04-30,98.0
2024-05-31,91.0
2024-06-30,75.0
2024-07-31,102.0
2024-08-31,84.0
2024-09-30,83.0
2024-10-31,87.0
2024-11-30,84.0
2024-12-31,75.0
2025-01-31,75.0
2025-02-28,75.0
2025-03-31,120.0
2025-04-30,75.0
2025-05-31,233.0
2025-06-30,84.0
2025-07-31,75.0
2025-08-31,93.0
2025-09-30,75.0
2025-10-31,91.0
2025-11-30,80.0
2025-12-31,80.0
2026-01-31,80.0
2026-02-28,80.0
2026-03-31,80.0
2026-04-30,80.0
2026-05-31,80.0
2026-06-30,80.0
2026-07-31,110.0
