date,D30:ROSN.MAB2.P1ZZD
2019-01-31,5956.0
2019-02-28,6715.0
2019-03-31,2150.0
2019-04-30,2150.0
2019-05-31,2150.0
2019-06-30,2150.0
2019-07-31,2150.0
2019-08-31,2150.0
2019-09-30,2300.0
2019-10-31,2300.0
2019-11-30,2420.0
2019-12-31,2545.0
2020-01-31,3217.0
2020-02-29,3507.0
2020-03-31,4888.0
2020-04-30,11133.0
2020-05-31,17185.0
2020-06-30,21580.0
2020-07-31,26243.0
2020-08-31,30050.0
2020-09-30,35720.0
2020-10-31,39720.0
2020-11-30,43180.0
2020-12-31,45970.0
2021-01-31,47030.0
2021-02-28,49410.0
2021-03-31,51962.0
2021-04-30,53974.0
2021-05-31,50383.0
2021-06-30,51773.0
2021-07-31,52493.0
2021-08-31,52493.0
2021-09-30,52643.0
2021-10-31,52666.0
2021-11-30,52643.0
2021-12-31,52643.0
2022-01-31,52643.0
2022-02-28,52643.0
2022-03-31,52643.0
2022-04-30,52643.0
2022-05-31,52643.0
2022-06-30,52643.0
2022-07-31,52228.0
2022-08-31,51813.0
2022-09-30,51598.0
2022-10-31,51408.0
2022-11-30,51143.0
2022-12-31,51118.0
2023-01-31,50993.0
2023-02-28,50578.0
2023-03-31,51532.0
2023-04-30,41932.0
2023-05-31,41517.0
2023-06-30,41082.0
2023-07-31,41067.0
2023-08-31,40652.0
2023-09-30,41337.0
2023-10-31,40922.0
2023-11-30,40607.0
2023-12-31,40809.0
2024-01-31,40549.0
2024-02-29,40284.0
2024-03-31,40278.0
2024-04-30,40413.0
2024-05-31,33439.0
2024-06-30,33004.0
2024-07-31,32669.0
2024-08-31,33025.0
2024-09-30,32610.0
2024-10-31,32545.0
2024-11-30,32310.0
2024-12-31,32095.0
2025-01-31,31754.0
2025-02-28,31339.0
2025-03-31,30924.0
2025-04-30,22351.0
2025-05-31,21936.0
2025-06-30,21501.0
2025-07-31,21086.0
2025-08-31,20671.0
2025-09-30,20256.0
2025-10-31,19860.0
2025-11-30,20060.0
2025-12-31,20181.0
2026-01-31,20240.0
2026-02-28,19932.0
2026-03-31,19517.0
2026-04-30,19102.0
2026-05-31,17026.0
2026-06-30,16591.0
2026-07-31,16526.0
