date,NZDM:bond_coverage
2019-01-17,1.588
2019-01-24,1.18
2019-01-31,4.355
2019-02-14,2.204
2019-02-21,2.88
2019-02-26,3.485
2019-03-14,2.56
2019-03-21,2.49
2019-03-28,2.42
2019-04-11,3.108
2019-04-18,2.487
2019-05-09,2.515
2019-05-16,2.233
2019-05-23,2.047
2019-06-13,2.888
2019-06-20,3.953
2019-06-27,4.433
2019-07-11,2.928
2019-07-18,2.127
2019-07-25,2.92
2019-08-08,3.032
2019-08-15,3.52
2019-08-22,2.212
2019-09-12,1.32
2019-09-26,3.26
2019-10-10,1.976
2019-10-17,2.353
2019-10-24,2.556
2019-10-31,2.833
2019-11-14,2.44
2019-11-21,3.127
2019-11-28,3.688
2019-12-12,2.532
2020-01-16,2.58
2020-01-23,2.987
2020-01-30,3.208
2020-02-13,3.412
2020-02-20,2.095
2020-02-27,2.788
2020-03-12,1.772
2020-03-19,1.433
2020-03-26,2.808
2020-04-02,2.32
2020-04-16,3.469
2020-04-23,3.251
2020-04-30,2.879
2020-05-07,3.102
2020-05-15,2.688
2020-05-21,3.131
2020-05-28,1.937
2020-06-04,2.004
2020-06-11,2.063
2020-06-25,2.581
2020-07-02,2.607
2020-07-09,2.302
2020-07-23,3.211
2020-07-30,2.869
2020-08-06,3.289
2020-08-13,3.041
2020-08-21,2.367
2020-09-03,2.496
2020-09-10,2.559
2020-09-17,3.0
2020-09-24,2.929
2020-10-01,3.717
2020-10-08,3.783
2020-10-15,4.058
2020-10-22,3.65
2020-11-05,3.795
2020-11-12,3.297
2020-11-19,4.448
2020-11-26,4.087
2020-12-03,3.542
2020-12-10,3.915
2020-12-17,2.57
2021-01-14,4.607
2021-01-21,4.209
2021-01-28,2.962
2021-02-11,3.582
2021-02-18,2.284
2021-02-25,1.573
2021-03-04,3.191
2021-03-11,3.598
2021-03-18,2.922
2021-03-25,2.627
2021-04-01,3.083
2021-04-08,3.333
2021-04-15,3.817
2021-04-22,4.177
2021-04-29,3.573
2021-05-06,3.243
2021-05-13,3.767
2021-05-21,4.337
2021-05-27,3.643
2021-06-03,3.06
2021-06-17,2.717
2021-06-24,3.31
2021-07-01,2.088
2021-07-08,3.44
2021-07-15,2.144
2021-07-22,3.356
2021-07-29,2.596
2021-08-05,2.54
2021-08-12,2.16
2021-08-19,2.002
2021-08-26,2.296
2021-09-02,2.206
2021-09-09,3.35
2021-09-23,3.582
2021-09-30,2.62
2021-10-07,2.828
2021-10-14,1.808
2021-10-21,2.538
2021-10-28,1.696
2021-11-04,2.498
2021-11-11,2.574
2021-11-16,2.474
2021-11-25,2.132
2021-12-02,1.664
2021-12-09,2.236
2021-12-16,2.036
2022-01-20,2.35
2022-01-27,2.93
2022-02-03,2.67
2022-02-10,1.985
2022-02-17,3.545
2022-02-24,2.77
2022-03-03,2.99
2022-03-10,2.26
2022-03-17,3.815
2022-03-24,3.775
2022-03-31,3.525
2022-04-07,2.55
2022-04-21,3.17
2022-04-28,2.835
2022-05-05,3.13
2022-05-12,3.84
2022-05-20,3.74
2022-05-26,4.745
2022-06-02,2.84
2022-06-09,2.885
2022-06-16,2.47
2022-06-23,2.9
2022-06-30,2.465
2022-07-07,3.002
2022-07-14,2.232
2022-07-21,2.585
2022-07-28,2.583
2022-08-04,2.397
2022-08-11,2.482
2022-08-18,2.433
2022-09-01,2.15
2022-09-08,2.83
2022-09-15,3.462
2022-09-22,2.335
2022-09-29,1.545
2022-10-06,2.785
2022-10-13,1.978
2022-10-20,2.683
2022-10-27,3.665
2022-11-03,2.053
2022-11-10,3.438
2022-11-24,2.535
2022-12-01,1.692
2022-12-08,2.888
2022-12-15,1.718
2023-01-19,2.993
2023-01-26,3.24
2023-02-02,3.002
2023-02-09,1.455
2023-02-16,3.045
2023-02-23,2.018
2023-03-02,3.047
2023-03-16,3.303
2023-03-23,2.862
2023-03-30,2.64
2023-04-06,4.89
2023-04-13,3.65
2023-04-20,4.062
2023-04-27,3.502
2023-05-04,3.357
2023-05-11,3.188
2023-05-19,3.47
2023-05-25,3.18
2023-06-01,2.91
2023-06-08,2.69
2023-06-15,2.97
2023-06-22,4.395
2023-06-29,3.395
2023-07-13,2.994
2023-07-20,2.586
2023-07-27,3.422
2023-08-03,2.074
2023-08-10,2.752
2023-08-17,2.464
2023-08-24,2.234
2023-08-31,2.676
2023-09-07,3.154
2023-09-14,2.652
2023-09-21,2.794
2023-09-28,1.8
2023-10-05,1.916
2023-10-12,2.596
2023-10-20,3.506
2023-10-26,2.762
2023-11-02,3.948
2023-11-09,4.004
2023-11-16,4.09
2023-11-23,2.952
2023-11-30,3.028
2023-12-07,2.488
2023-12-14,2.93
2024-01-18,1.466
2024-01-25,1.932
2024-02-01,1.53
2024-02-08,2.986
2024-02-15,3.578
2024-02-29,2.392
2024-03-07,2.478
2024-03-14,2.494
2024-03-21,1.84
2024-03-28,2.55
2024-04-11,2.354
2024-04-18,2.806
2024-04-24,2.95
2024-05-02,2.756
2024-05-09,2.064
2024-05-16,1.94
2024-05-23,1.696
2024-05-31,2.564
2024-06-13,1.95
2024-06-20,1.514
2024-06-27,1.476
2024-07-04,1.3
2024-07-11,3.286
2024-07-18,2.94
2024-07-25,2.42
2024-08-01,3.024
2024-08-08,2.028
2024-08-15,2.546
2024-08-29,2.03
2024-09-05,2.212
2024-09-12,2.902
2024-09-19,2.456
2024-09-26,2.06
2024-10-03,1.766
2024-10-10,2.072
2024-10-17,2.522
2024-10-31,3.122
2024-11-07,2.82
2024-11-14,2.782
2024-11-21,2.892
2024-11-28,3.552
2024-12-05,2.658
2024-12-12,2.942
