date,D30:ROSN.MAB2.P1ZZE
2019-01-31,11133.0
2019-02-28,10315.0
2019-03-31,8495.0
2019-04-30,9136.0
2019-05-31,8882.0
2019-06-30,9621.0
2019-07-31,9292.0
2019-08-31,9749.0
2019-09-30,10219.0
2019-10-31,10760.0
2019-11-30,11081.0
2019-12-31,11861.0
2020-01-31,11311.0
2020-02-29,11480.0
2020-03-31,13744.0
2020-04-30,11062.0
2020-05-31,9634.0
2020-06-30,14347.0
2020-07-31,14274.0
2020-08-31,15633.0
2020-09-30,17273.0
2020-10-31,17740.0
2020-11-30,18055.0
2020-12-31,17999.0
2021-01-31,17373.0
2021-02-28,17994.0
2021-03-31,17856.0
2021-04-30,18322.0
2021-05-31,14979.0
2021-06-30,15034.0
2021-07-31,13691.0
2021-08-31,14025.0
2021-09-30,14236.0
2021-10-31,13473.0
2021-11-30,13032.0
2021-12-31,12868.0
2022-01-31,12417.0
2022-02-28,11665.0
2022-03-31,12267.0
2022-04-30,12831.0
2022-05-31,12918.0
2022-06-30,12820.0
2022-07-31,12936.0
2022-08-31,13653.0
2022-09-30,14781.0
2022-10-31,14045.0
2022-11-30,13902.0
2022-12-31,13589.0
2023-01-31,13090.0
2023-02-28,14248.0
2023-03-31,15253.0
2023-04-30,11846.0
2023-05-31,11543.0
2023-06-30,11479.0
2023-07-31,14148.0
2023-08-31,14235.0
2023-09-30,14799.0
2023-10-31,16154.0
2023-11-30,16714.0
2023-12-31,15602.0
2024-01-31,15396.0
2024-02-29,16157.0
2024-03-31,16374.0
2024-04-30,18444.0
2024-05-31,17127.0
2024-06-30,20704.0
2024-07-31,22138.0
2024-08-31,23792.0
2024-09-30,22422.0
2024-10-31,24692.0
2024-11-30,25089.0
2024-12-31,24395.0
2025-01-31,24444.0
2025-02-28,26736.0
2025-03-31,27506.0
2025-04-30,26855.0
2025-05-31,26563.0
2025-06-30,25190.0
2025-07-31,27607.0
2025-08-31,29731.0
2025-09-30,34066.0
2025-10-31,31989.0
2025-11-30,34401.0
2025-12-31,35858.0
2026-01-31,38216.0
2026-02-28,36835.0
2026-03-31,38131.0
2026-04-30,37796.0
2026-05-31,34244.0
2026-06-30,39377.0
2026-07-31,39999.0
