date,D30:ROSN.MAB2.P3ZZT
2019-01-31,173.0
2019-02-28,173.0
2019-03-31,172.0
2019-04-30,168.0
2019-05-31,169.0
2019-06-30,166.0
2019-07-31,167.0
2019-08-31,167.0
2019-09-30,168.0
2019-10-31,167.0
2019-11-30,164.0
2019-12-31,162.0
2020-01-31,162.0
2020-02-29,161.0
2020-03-31,186.0
2020-04-30,213.0
2020-05-31,230.0
2020-06-30,234.0
2020-07-31,239.0
2020-08-31,237.0
2020-09-30,234.0
2020-10-31,220.0
2020-11-30,213.0
2020-12-31,210.0
2021-01-31,210.0
2021-02-28,207.0
2021-03-31,191.0
2021-04-30,183.0
2021-05-31,181.0
2021-06-30,179.0
2021-07-31,176.0
2021-08-31,170.0
2021-09-30,168.0
2021-10-31,166.0
2021-11-30,163.0
2021-12-31,161.0
2022-01-31,159.0
2022-02-28,158.0
2022-03-31,154.0
2022-04-30,153.0
2022-05-31,151.0
2022-06-30,151.0
2022-07-31,150.0
2022-08-31,148.0
2022-09-30,146.0
2022-10-31,144.0
2022-11-30,142.0
2022-12-31,139.0
2023-01-31,139.0
2023-02-28,137.0
2023-03-31,143.0
2023-04-30,147.0
2023-05-31,152.0
2023-06-30,153.0
2023-07-31,153.0
2023-08-31,155.0
2023-09-30,157.0
2023-10-31,155.0
2023-11-30,155.0
2023-12-31,156.0
2024-01-31,157.0
2024-02-29,160.0
2024-03-31,156.0
2024-04-30,153.0
2024-05-31,153.0
2024-06-30,154.0
2024-07-31,155.0
2024-08-31,158.0
2024-09-30,158.0
2024-10-31,158.0
2024-11-30,158.0
2024-12-31,157.0
2025-01-31,157.0
2025-02-28,154.0
2025-03-31,154.0
2025-04-30,152.0
2025-05-31,155.0
2025-06-30,153.0
2025-07-31,152.0
2025-08-31,152.0
2025-09-30,152.0
2025-10-31,152.0
2025-11-30,152.0
2025-12-31,152.0
2026-01-31,152.0
2026-02-28,149.0
2026-03-31,147.0
2026-04-30,144.0
2026-05-31,142.0
2026-06-30,139.0
2026-07-31,138.0
