date,D30:ROSN.MAB2.P4ZZB
2020-05-31,50.0
2020-07-31,137.0
2020-08-31,137.0
2021-07-31,2.0
2021-08-31,2.0
2021-09-30,12.0
2021-10-31,23.0
2021-11-30,23.0
2021-12-31,20.0
2022-01-31,20.0
2022-02-28,19.0
2022-03-31,19.0
2022-04-30,19.0
2022-05-31,19.0
2022-06-30,21.0
2022-07-31,21.0
2022-08-31,12.0
2022-09-30,16.0
2022-10-31,17.0
2022-11-30,12.0
2022-12-31,17.0
2023-01-31,17.0
2023-02-28,17.0
2023-03-31,17.0
2023-04-30,19.0
2023-05-31,22.0
2023-06-30,33.0
2023-07-31,31.0
2023-08-31,31.0
2023-09-30,31.0
2023-10-31,30.0
2023-11-30,19.0
2023-12-31,13.0
2024-01-31,7.0
2024-02-29,9.0
2024-03-31,9.0
2024-04-30,7.0
2024-05-31,7.0
2024-06-30,10.0
2024-07-31,11.0
2024-08-31,10.0
2024-09-30,37.0
2024-10-31,33.0
2024-11-30,32.0
2024-12-31,32.0
2025-01-31,32.0
2025-02-28,32.0
2025-03-31,32.0
2025-04-30,32.0
2025-05-31,32.0
2025-06-30,32.0
2025-07-31,32.0
2025-08-31,52.0
2025-09-30,60.0
2025-10-31,45.0
2025-11-30,41.0
2025-12-31,46.0
2026-01-31,41.0
2026-02-28,37.0
2026-03-31,37.0
2026-04-30,35.0
2026-05-31,32.0
2026-06-30,39.0
2026-07-31,36.0
