date,R3:UGEN.MR7023
2019-01-31,481.0
2019-02-28,346.0
2019-03-31,916.0
2019-04-30,954.0
2019-05-31,825.0
2019-06-30,1044.0
2019-07-31,1531.0
2019-08-31,1496.0
2019-09-30,1030.0
2019-10-31,926.0
2019-11-30,1110.0
2019-12-31,1411.0
2020-01-31,618.0
2020-02-29,1514.0
2020-03-31,1408.0
2020-04-30,662.0
2020-05-31,595.0
2020-06-30,549.0
2020-07-31,283.0
2020-08-31,496.0
2020-09-30,259.0
2020-10-31,336.0
2020-11-30,376.0
2020-12-31,473.0
2021-01-31,593.0
2021-02-28,853.0
2021-03-31,778.0
2021-04-30,388.0
2021-05-31,1103.0
2021-06-30,849.0
2021-07-31,940.0
2021-08-31,821.0
2021-09-30,597.0
2021-10-31,673.0
2021-11-30,1270.0
2021-12-31,812.0
2022-01-31,770.0
2022-02-28,667.0
2022-03-31,166.0
2022-04-30,1100.0
2022-05-31,1180.0
2022-06-30,1377.0
2022-07-31,3657.0
2022-08-31,5201.0
2022-09-30,4872.0
2022-10-31,3254.0
2022-11-30,4025.0
2022-12-31,5281.0
2023-01-31,4507.0
2023-02-28,4458.0
2023-03-31,1374.0
2023-04-30,3279.0
2023-05-31,2402.0
2023-06-30,3160.0
2023-07-31,3285.0
2023-08-31,1991.0
2023-09-30,2031.0
2023-10-31,2810.0
2023-11-30,3017.0
2023-12-31,1024.0
2024-01-31,5162.0
2024-02-29,5141.0
2024-03-31,1656.0
2024-04-30,612.0
2024-05-31,366.0
2024-06-30,352.0
2024-07-31,576.0
2024-08-31,248.0
2024-09-30,1783.0
2024-10-31,1212.0
2024-11-30,659.0
2024-12-31,1287.0
2025-01-31,1101.0
2025-02-28,1226.0
2025-03-31,967.0
2025-04-30,486.0
2025-05-31,328.0
2025-06-30,248.0
2025-07-31,547.0
2025-08-31,544.0
2025-09-30,738.0
2025-10-31,880.0
2025-11-30,842.0
2025-12-31,801.0
2026-01-31,324.0
2026-02-28,361.0
2026-03-31,898.0
2026-04-30,564.0
2026-05-31,457.0
2026-06-30,1069.0
2026-07-31,545.0
