date,B2:INM.DG19.NS3805ZCF
2026-07-21,4.83
2026-07-22,4.85
2026-07-23,4.87
2026-07-24,4.94
2026-07-27,4.86
2026-07-28,4.86
2026-07-29,4.8
2026-07-30,4.87
2026-07-31,4.82
2026-08-03,4.89
2026-08-04,4.88
2026-08-05,4.82
2026-08-06,4.84
2026-08-07,4.87
2026-08-10,4.83
2026-08-11,4.84
2026-08-12,4.86
2026-08-13,4.81
2026-08-14,4.85
2026-08-17,4.89
2026-08-18,4.91
2026-08-19,4.88
2026-08-20,4.85
2026-08-21,4.91
2026-08-24,4.9
2026-08-25,4.89
2026-08-26,4.84
2026-08-27,4.89
2026-08-28,4.91
2026-08-31,4.89
2026-09-01,4.95
2026-09-02,4.94
2026-09-03,4.94
2026-09-04,4.95
2026-09-07,4.94
2026-09-08,4.92
