date,D30:ROSN.MAB2.PZZW
2019-01-31,40857.0
2019-02-28,41700.0
2019-03-31,39710.0
2019-04-30,38483.0
2019-05-31,38391.0
2019-06-30,37331.0
2019-07-31,38627.0
2019-08-31,38759.0
2019-09-30,39611.0
2019-10-31,40073.0
2019-11-30,40289.0
2019-12-31,39968.0
2020-01-31,40410.0
2020-02-29,39991.0
2020-03-31,38108.0
2020-04-30,36343.0
2020-05-31,35452.0
2020-06-30,37481.0
2020-07-31,39852.0
2020-08-31,38406.0
2020-09-30,39131.0
2020-10-31,37669.0
2020-11-30,39749.0
2020-12-31,39775.0
2021-01-31,41787.0
2021-02-28,44244.0
2021-03-31,43889.0
2021-04-30,42110.0
2021-05-31,38626.0
2021-06-30,40458.0
2021-07-31,42539.0
2021-08-31,44767.0
2021-09-30,47913.0
2021-10-31,50178.0
2021-11-30,52284.0
2021-12-31,53814.0
2022-01-31,54063.0
2022-02-28,55541.0
2022-03-31,55834.0
2022-04-30,55851.0
2022-05-31,56513.0
2022-06-30,57155.0
2022-07-31,58056.0
2022-08-31,59312.0
2022-09-30,59691.0
2022-10-31,61179.0
2022-11-30,65059.0
2022-12-31,67252.0
2023-01-31,68157.0
2023-02-28,67856.0
2023-03-31,70434.0
2023-04-30,69027.0
2023-05-31,71439.0
2023-06-30,73133.0
2023-07-31,75819.0
2023-08-31,78089.0
2023-09-30,79303.0
2023-10-31,79979.0
2023-11-30,79956.0
2023-12-31,81284.0
2024-01-31,82252.0
2024-02-29,86900.0
2024-03-31,88431.0
2024-04-30,91395.0
2024-05-31,87286.0
2024-06-30,89439.0
2024-07-31,89485.0
2024-08-31,94217.0
2024-09-30,97604.0
2024-10-31,103031.0
2024-11-30,102727.0
2024-12-31,104150.0
2025-01-31,104649.0
2025-02-28,108702.0
2025-03-31,110041.0
2025-04-30,109128.0
2025-05-31,111725.0
2025-06-30,113676.0
2025-07-31,118412.0
2025-08-31,117126.0
2025-09-30,114343.0
2025-10-31,116731.0
2025-11-30,119194.0
2025-12-31,118693.0
2026-01-31,116421.0
2026-02-28,119253.0
2026-03-31,119764.0
2026-04-30,121846.0
2026-05-31,120329.0
2026-06-30,118121.0
2026-07-31,124549.0
