date,R3:UGEN.MR7006
2019-01-31,196.0
2019-02-28,243.0
2019-03-31,142.0
2019-04-30,208.0
2019-05-31,211.0
2019-06-30,188.0
2019-07-31,160.0
2019-08-31,385.0
2019-09-30,301.0
2019-10-31,129.0
2019-11-30,105.0
2019-12-31,104.0
2020-01-31,279.0
2020-02-29,627.0
2020-03-31,711.0
2020-04-30,216.0
2020-05-31,171.0
2020-06-30,156.0
2020-07-31,365.0
2020-08-31,376.0
2020-09-30,89.0
2020-10-31,45.0
2020-11-30,68.0
2020-12-31,129.0
2021-01-31,63.0
2021-02-28,79.0
2021-03-31,64.0
2021-04-30,116.0
2021-05-31,110.0
2021-06-30,110.0
2021-07-31,55.0
2021-08-31,46.0
2021-09-30,97.0
2021-10-31,121.0
2021-11-30,193.0
2021-12-31,202.0
2022-01-31,213.0
2022-02-28,105.0
2022-03-31,144.0
2022-04-30,201.0
2022-05-31,90.0
2022-06-30,198.0
2022-07-31,177.0
2022-08-31,138.0
2022-09-30,292.0
2022-10-31,215.0
2022-11-30,285.0
2022-12-31,333.0
2023-01-31,244.0
2023-02-28,171.0
2023-03-31,178.0
2023-04-30,189.0
2023-05-31,230.0
2023-06-30,219.0
2023-07-31,199.0
2023-08-31,291.0
2023-09-30,342.0
2023-10-31,377.0
2023-11-30,262.0
2023-12-31,324.0
2024-01-31,252.0
2024-02-29,295.0
2024-03-31,344.0
2024-04-30,410.0
2024-05-31,362.0
2024-06-30,332.0
2024-07-31,495.0
2024-08-31,258.0
2024-09-30,210.0
2024-10-31,451.0
2024-11-30,392.0
2024-12-31,632.0
2025-01-31,465.0
2025-02-28,545.0
2025-03-31,423.0
2025-04-30,411.0
2025-05-31,310.0
2025-06-30,186.0
2025-07-31,291.0
2025-08-31,346.0
2025-09-30,457.0
2025-10-31,582.0
2025-11-30,635.0
2025-12-31,686.0
2026-01-31,503.0
2026-02-28,341.0
2026-03-31,607.0
2026-04-30,567.0
2026-05-31,414.0
2026-06-30,654.0
2026-07-31,826.0
