date,D30:ROSN.MAB2.P4ZZC
2019-01-31,3954.0
2019-02-28,4001.0
2019-03-31,4035.0
2019-04-30,3986.0
2019-05-31,3648.0
2019-06-30,3088.0
2019-07-31,2880.0
2019-08-31,2551.0
2019-09-30,2382.0
2019-10-31,2248.0
2019-11-30,2117.0
2019-12-31,2166.0
2020-01-31,2095.0
2020-02-29,2239.0
2020-03-31,2812.0
2020-04-30,7131.0
2020-05-31,9536.0
2020-06-30,10776.0
2020-07-31,9725.0
2020-08-31,9676.0
2020-09-30,10096.0
2020-10-31,9154.0
2020-11-30,8070.0
2020-12-31,7242.0
2021-01-31,5705.0
2021-02-28,5375.0
2021-03-31,6175.0
2021-04-30,6177.0
2021-05-31,6437.0
2021-06-30,6455.0
2021-07-31,6650.0
2021-08-31,5978.0
2021-09-30,6180.0
2021-10-31,6399.0
2021-11-30,6444.0
2021-12-31,6145.0
2022-01-31,4950.0
2022-02-28,4387.0
2022-03-31,3854.0
2022-04-30,3577.0
2022-05-31,3038.0
2022-06-30,2766.0
2022-07-31,2927.0
2022-08-31,2739.0
2022-09-30,2558.0
2022-10-31,2341.0
2022-11-30,2296.0
2022-12-31,1890.0
2023-01-31,1755.0
2023-02-28,1836.0
2023-03-31,2248.0
2023-04-30,2464.0
2023-05-31,2427.0
2023-06-30,2557.0
2023-07-31,2574.0
2023-08-31,2914.0
2023-09-30,3047.0
2023-10-31,3026.0
2023-11-30,3404.0
2023-12-31,3443.0
2024-01-31,3416.0
2024-02-29,3399.0
2024-03-31,3715.0
2024-04-30,3739.0
2024-05-31,3670.0
2024-06-30,3824.0
2024-07-31,3814.0
2024-08-31,3661.0
2024-09-30,3410.0
2024-10-31,3023.0
2024-11-30,2688.0
2024-12-31,2320.0
2025-01-31,2119.0
2025-02-28,2544.0
2025-03-31,2991.0
2025-04-30,3457.0
2025-05-31,2321.0
2025-06-30,2602.0
2025-07-31,2556.0
2025-08-31,2456.0
2025-09-30,2638.0
2025-10-31,2617.0
2025-11-30,2137.0
2025-12-31,2351.0
2026-01-31,2297.0
2026-02-28,2549.0
2026-03-31,3152.0
2026-04-30,3236.0
2026-05-31,3864.0
2026-06-30,3965.0
2026-07-31,3791.0
