date,C50:MCA.MDC.PSC2
2019-01-31,6389.0
2019-02-28,6303.0
2019-03-31,6504.0
2019-04-30,6606.0
2019-05-31,6286.0
2019-06-30,6289.0
2019-07-31,6662.0
2019-08-31,6682.0
2019-09-30,6784.0
2019-10-31,6508.0
2019-11-30,6080.0
2019-12-31,5879.0
2020-01-31,5630.0
2020-02-29,5919.0
2020-03-31,6718.0
2020-04-30,6821.0
2020-05-31,6603.0
2020-06-30,6419.0
2020-07-31,7381.0
2020-08-31,7176.0
2020-09-30,7380.0
2020-10-31,7614.0
2020-11-30,7730.0
2020-12-31,7536.0
2021-01-31,6494.0
2021-02-28,6403.0
2021-03-31,6661.0
2021-04-30,6513.0
2021-05-31,6325.0
2021-06-30,6233.0
2021-07-31,7036.0
2021-08-31,7234.0
2021-09-30,7140.0
2021-10-31,7390.0
2021-11-30,7323.0
2021-12-31,7008.0
2022-01-31,6731.0
2022-02-28,6741.0
2022-03-31,6408.0
2022-04-30,6599.0
2022-05-31,6607.0
2022-06-30,6546.0
2022-07-31,6677.0
2022-08-31,7364.0
2022-09-30,7702.0
2022-10-31,8008.0
2022-11-30,7684.0
2022-12-31,7546.0
2023-01-31,7319.0
2023-02-28,7410.0
2023-03-31,7642.0
2023-04-30,7693.0
2023-05-31,7524.0
2023-06-30,7529.0
2023-07-31,7834.0
2023-08-31,8007.0
2023-09-30,8417.0
2023-10-31,8454.0
2023-11-30,8902.0
2023-12-31,9039.0
2024-01-31,9027.0
2024-02-29,8780.0
2024-03-31,8593.0
2024-04-30,7886.0
2024-05-31,7876.0
2024-06-30,8019.0
2024-07-31,7959.0
2024-08-31,8712.0
2024-09-30,9096.0
2024-10-31,9615.0
2024-11-30,9911.0
2024-12-31,9575.0
2025-01-31,9714.0
2025-02-28,10092.0
2025-03-31,10647.0
2025-04-30,9669.0
2025-05-31,9323.0
2025-06-30,8815.0
2025-07-31,9244.0
2025-08-31,9080.0
2025-09-30,8873.0
2025-10-31,8806.0
2025-11-30,8285.0
2025-12-31,8299.0
2026-01-31,8319.0
2026-02-28,8616.0
2026-03-31,8583.0
2026-04-30,7706.0
2026-05-31,7872.0
2026-06-30,8598.0
2026-07-31,8661.0
