date,NZDM:bond_wavg_short
2025-04-24,3.8662
2025-05-01,3.7948
2025-05-08,3.5881
2025-05-15,3.9792
2025-05-23,3.7091
2025-05-29,3.9948
2025-06-05,3.7131
2025-06-12,3.9172
2025-06-19,3.7719
2025-06-26,3.6599
2025-07-10,3.6485
2025-07-17,3.8413
2025-07-24,3.6511
2025-07-31,3.8083
2025-08-07,3.7231
2025-08-14,3.4731
2025-08-21,3.6061
2025-08-28,3.576
2025-09-04,3.6058
2025-09-18,3.4232
2025-09-25,3.4
2025-10-02,3.3388
2025-10-09,3.5168
2025-10-16,3.5982
2025-10-23,3.125
2025-10-30,3.2981
2025-11-06,3.0673
2025-11-13,3.2826
2025-11-27,3.4702
2025-12-04,3.581
2025-12-11,3.7954
2026-01-15,3.5759
2026-01-22,3.7225
2026-01-29,4.0359
2026-02-05,3.7422
2026-02-12,3.9773
2026-02-19,3.3546
2026-02-26,3.7906
2026-03-05,3.8914
2026-03-12,4.1118
2026-03-19,4.1644
2026-03-26,4.2452
2026-04-02,3.9927
2026-04-09,4.2318
2026-04-16,4.1548
2026-04-23,4.0039
2026-04-30,4.0322
2026-05-07,4.1153
2026-05-14,4.0449
2026-05-21,4.2052
2026-05-29,3.723
2026-06-04,4.0316
2026-06-11,3.6718
2026-06-18,4.0125
2026-06-25,3.9464
2026-07-02,3.741
2026-07-09,4.0127
2026-07-23,4.4088
2026-07-30,4.4126
2026-08-06,4.1103
2026-08-13,4.2546
2026-08-20,4.253
2026-08-27,4.1633
2026-09-03,4.0227
2026-09-10,4.302
