date,R3:UGEN.MR70232
2019-01-31,136.0
2019-02-28,166.0
2019-03-31,167.0
2019-04-30,224.0
2019-05-31,267.0
2019-06-30,193.0
2019-07-31,253.0
2019-08-31,385.0
2019-09-30,435.0
2019-10-31,324.0
2019-11-30,301.0
2019-12-31,186.0
2020-01-31,298.0
2020-02-29,446.0
2020-03-31,703.0
2020-04-30,484.0
2020-05-31,370.0
2020-06-30,282.0
2020-07-31,211.0
2020-08-31,146.0
2020-09-30,147.0
2020-10-31,144.0
2020-11-30,52.0
2020-12-31,32.0
2021-01-31,35.0
2021-02-28,446.0
2021-03-31,78.0
2021-04-30,46.0
2021-05-31,35.0
2021-06-30,87.0
2021-07-31,90.0
2021-08-31,71.0
2021-09-30,99.0
2021-10-31,51.0
2021-11-30,119.0
2021-12-31,125.0
2022-01-31,201.0
2022-02-28,129.0
2022-03-31,81.0
2022-04-30,285.0
2022-05-31,244.0
2022-06-30,401.0
2022-07-31,1648.0
2022-08-31,457.0
2022-09-30,861.0
2022-10-31,653.0
2022-11-30,331.0
2022-12-31,369.0
2023-01-31,238.0
2023-02-28,417.0
2023-03-31,337.0
2023-04-30,386.0
2023-05-31,556.0
2023-06-30,440.0
2023-07-31,367.0
2023-08-31,587.0
2023-09-30,530.0
2023-10-31,714.0
2023-11-30,396.0
2023-12-31,346.0
2024-01-31,390.0
2024-02-29,413.0
2024-03-31,551.0
2024-04-30,612.0
2024-05-31,309.0
2024-06-30,352.0
2024-07-31,576.0
2024-08-31,240.0
2024-09-30,175.0
2024-10-31,498.0
2024-11-30,602.0
2024-12-31,1287.0
2025-01-31,1097.0
2025-02-28,1218.0
2025-03-31,967.0
2025-04-30,486.0
2025-05-31,328.0
2025-06-30,246.0
2025-07-31,547.0
2025-08-31,544.0
2025-09-30,738.0
2025-10-31,880.0
2025-11-30,842.0
2025-12-31,772.0
2026-01-31,324.0
2026-02-28,361.0
2026-03-31,898.0
2026-04-30,564.0
2026-05-31,457.0
2026-06-30,1069.0
2026-07-31,543.0
