date,C5:CRD.MNA201
2019-01-31,4722.0
2019-02-28,4742.0
2019-03-31,4781.0
2019-04-30,4743.0
2019-05-31,4735.0
2019-06-30,4756.0
2019-07-31,4711.0
2019-08-31,4722.0
2019-09-30,4873.0
2019-10-31,4811.0
2019-11-30,4856.0
2019-12-31,4984.0
2020-01-31,4909.0
2020-02-29,4939.0
2020-03-31,5078.0
2020-04-30,5059.0
2020-05-31,4982.0
2020-06-30,4873.0
2020-07-31,4777.0
2020-08-31,4841.0
2020-09-30,6827.0
2020-10-31,6748.0
2020-11-30,6753.0
2020-12-31,6692.0
2021-01-31,6742.0
2021-02-28,6731.0
2021-03-31,6751.0
2021-04-30,6754.0
2021-05-31,6681.0
2021-06-30,6963.0
2021-07-31,7082.0
2021-08-31,7110.0
2021-09-30,7284.0
2021-10-31,7285.0
2021-11-30,7368.0
2021-12-31,7449.0
2022-01-31,7450.0
2022-02-28,7441.0
2022-03-31,7748.0
2022-04-30,7797.0
2022-05-31,7838.0
2022-06-30,7874.0
2022-07-31,7942.0
2022-08-31,7992.0
2022-09-30,8360.0
2022-10-31,8422.0
2022-11-30,8499.0
2022-12-31,8639.0
2023-01-31,8568.0
2023-02-28,8566.0
2023-03-31,8795.0
2023-04-30,8774.0
2023-05-31,8810.0
2023-06-30,8903.0
2023-07-31,8899.0
2023-08-31,8884.0
2023-09-30,9036.0
2023-10-31,9096.0
2023-11-30,8986.0
2023-12-31,9090.0
2024-01-31,9158.0
2024-02-29,9223.0
2024-03-31,9458.0
2024-04-30,9294.0
2024-05-31,9348.0
2024-06-30,9360.0
2024-07-31,9160.0
2024-08-31,9112.0
2024-09-30,9182.0
2024-10-31,9211.0
2024-11-30,9327.0
2024-12-31,9492.0
2025-01-31,9444.0
2025-02-28,9423.0
2025-03-31,9549.0
2025-04-30,9513.0
2025-05-31,9466.0
2025-06-30,9555.0
2025-07-31,9545.0
2025-08-31,9598.0
2025-09-30,9622.0
2025-10-31,9637.0
2025-11-30,9703.0
2025-12-31,9835.0
2026-01-31,9810.0
2026-02-28,9795.0
2026-03-31,9860.0
2026-04-30,9735.0
2026-05-31,9769.0
2026-06-30,9770.0
2026-07-31,9752.0
