date,NZDM:bond_offered
2019-01-17,250.0
2019-01-24,200.0
2019-01-31,200.0
2019-02-14,250.0
2019-02-21,200.0
2019-02-26,200.0
2019-03-14,250.0
2019-03-21,200.0
2019-03-28,200.0
2019-04-11,250.0
2019-04-18,150.0
2019-05-09,200.0
2019-05-16,150.0
2019-05-23,150.0
2019-06-13,250.0
2019-06-20,150.0
2019-06-27,150.0
2019-07-11,250.0
2019-07-18,150.0
2019-07-25,250.0
2019-08-08,250.0
2019-08-15,150.0
2019-08-22,250.0
2019-09-12,250.0
2019-09-26,250.0
2019-10-10,250.0
2019-10-17,150.0
2019-10-24,250.0
2019-10-31,150.0
2019-11-14,250.0
2019-11-21,150.0
2019-11-28,250.0
2019-12-12,250.0
2020-01-16,250.0
2020-01-23,150.0
2020-01-30,250.0
2020-02-13,250.0
2020-02-20,200.0
2020-02-27,250.0
2020-03-12,250.0
2020-03-19,150.0
2020-03-26,250.0
2020-04-02,800.0
2020-04-16,800.0
2020-04-23,800.0
2020-04-30,800.0
2020-05-07,1050.0
2020-05-15,1050.0
2020-05-21,1050.0
2020-05-28,1050.0
2020-06-04,1050.0
2020-06-11,1050.0
2020-06-25,1050.0
2020-07-02,800.0
2020-07-09,950.0
2020-07-23,950.0
2020-07-30,800.0
2020-08-06,950.0
2020-08-13,950.0
2020-08-21,950.0
2020-09-03,950.0
2020-09-10,950.0
2020-09-17,950.0
2020-09-24,950.0
2020-10-01,600.0
2020-10-08,600.0
2020-10-15,600.0
2020-10-22,600.0
2020-11-05,600.0
2020-11-12,600.0
2020-11-19,600.0
2020-11-26,600.0
2020-12-03,600.0
2020-12-10,600.0
2020-12-17,600.0
2021-01-14,450.0
2021-01-21,450.0
2021-01-28,450.0
2021-02-11,450.0
2021-02-18,450.0
2021-02-25,450.0
2021-03-04,450.0
2021-03-11,450.0
2021-03-18,450.0
2021-03-25,450.0
2021-04-01,300.0
2021-04-08,300.0
2021-04-15,300.0
2021-04-22,300.0
2021-04-29,300.0
2021-05-06,300.0
2021-05-13,300.0
2021-05-21,300.0
2021-05-27,300.0
2021-06-03,300.0
2021-06-17,300.0
2021-06-24,300.0
2021-07-01,500.0
2021-07-08,500.0
2021-07-15,500.0
2021-07-22,500.0
