date,B2:INM.DG19.NS2405ZC
2023-12-13,5.58
2023-12-14,5.52
2023-12-15,5.52
2023-12-18,5.52
2023-12-19,5.52
2023-12-20,5.52
2023-12-21,5.52
2023-12-22,5.52
2023-12-27,5.52
2023-12-28,5.51
2023-12-29,5.51
2024-01-03,5.51
2024-01-04,5.51
2024-01-05,5.51
2024-01-08,5.51
2024-01-09,5.51
2024-01-10,5.51
2024-01-11,5.5
2024-01-12,5.5
2024-01-15,5.5
2024-01-16,5.5
2024-01-17,5.5
2024-01-18,5.5
2024-01-19,5.5
2024-01-22,5.5
2024-01-23,5.5
2024-01-24,5.52
2024-01-25,5.52
2024-01-26,5.52
2024-01-29,5.52
2024-01-30,5.52
2024-01-31,5.52
2024-02-01,5.53
2024-02-02,5.53
2024-02-05,5.53
2024-02-07,5.53
2024-02-08,5.54
2024-02-09,5.6
2024-02-12,5.6
2024-02-13,5.58
2024-02-14,5.59
2024-02-15,5.59
2024-02-16,5.59
2024-02-19,5.59
2024-02-20,5.59
2024-02-21,5.61
2024-02-22,5.61
2024-02-23,5.61
2024-02-26,5.61
2024-02-27,5.61
2024-02-28,5.55
2024-02-29,5.54
2024-03-01,5.54
2024-03-04,5.54
2024-03-05,5.54
2024-03-06,5.54
2024-03-07,5.54
2024-03-08,5.54
2024-03-11,5.54
2024-03-12,5.54
2024-03-13,5.54
2024-03-14,5.54
2024-03-15,5.54
2024-03-18,5.54
2024-03-19,5.52
2024-03-20,5.52
2024-03-21,5.52
2024-03-22,5.52
2024-03-25,5.51
2024-03-26,5.51
2024-03-27,5.51
2024-03-28,5.51
2024-04-02,5.51
2024-04-03,5.51
2024-04-04,5.51
2024-04-05,5.51
2024-04-08,5.51
2024-04-09,5.51
2024-04-10,5.51
2024-04-11,5.51
2024-04-12,5.51
2024-04-15,5.51
2024-04-16,5.51
2024-04-17,5.51
2024-04-18,5.52
2024-04-19,5.52
2024-04-22,5.52
2024-04-23,5.52
2024-04-24,5.51
2024-04-26,5.51
2024-04-29,5.51
2024-04-30,5.51
2024-05-01,5.51
2024-05-02,5.51
2024-05-03,5.51
2024-05-06,5.51
2024-05-07,5.51
2024-05-08,5.51
2024-05-09,5.51
2024-05-10,5.51
2024-05-13,5.51
2024-05-14,5.51
2024-05-15,5.51
