date,D30:ROSN.MAB2.P4ZZW
2019-01-31,373.0
2019-02-28,404.0
2019-03-31,540.0
2019-04-30,423.0
2019-05-31,411.0
2019-06-30,296.0
2019-07-31,274.0
2019-08-31,270.0
2019-09-30,139.0
2019-10-31,208.0
2019-11-30,249.0
2019-12-31,179.0
2020-01-31,90.0
2020-02-29,46.0
2020-03-31,99.0
2020-04-30,182.0
2020-05-31,169.0
2020-06-30,170.0
2020-07-31,104.0
2020-08-31,398.0
2020-09-30,145.0
2020-10-31,84.0
2020-11-30,181.0
2020-12-31,388.0
2021-01-31,1486.0
2021-02-28,2094.0
2021-03-31,1962.0
2021-04-30,1573.0
2021-05-31,1163.0
2021-06-30,1145.0
2021-07-31,1042.0
2021-08-31,1614.0
2021-09-30,1552.0
2021-10-31,1123.0
2021-11-30,877.0
2021-12-31,829.0
2022-01-31,680.0
2022-02-28,545.0
2022-03-31,478.0
2022-04-30,554.0
2022-05-31,743.0
2022-06-30,723.0
2022-07-31,562.0
2022-08-31,539.0
2022-09-30,616.0
2022-10-31,752.0
2022-11-30,622.0
2022-12-31,1023.0
2023-01-31,838.0
2023-02-28,837.0
2023-03-31,705.0
2023-04-30,567.0
2023-05-31,351.0
2023-06-30,355.0
2023-07-31,840.0
2023-08-31,1279.0
2023-09-30,1651.0
2023-10-31,1779.0
2023-11-30,1630.0
2023-12-31,1303.0
2024-01-31,1176.0
2024-02-29,1042.0
2024-03-31,1226.0
2024-04-30,1289.0
2024-05-31,1508.0
2024-06-30,1846.0
2024-07-31,1940.0
2024-08-31,1944.0
2024-09-30,1943.0
2024-10-31,2134.0
2024-11-30,2309.0
2024-12-31,2268.0
2025-01-31,1959.0
2025-02-28,1684.0
2025-03-31,1437.0
2025-04-30,1477.0
2025-05-31,2513.0
2025-06-30,2447.0
2025-07-31,2133.0
2025-08-31,2188.0
2025-09-30,2128.0
2025-10-31,2220.0
2025-11-30,1993.0
2025-12-31,2019.0
2026-01-31,1538.0
2026-02-28,1310.0
2026-03-31,1027.0
2026-04-30,1424.0
2026-05-31,1344.0
2026-06-30,1691.0
2026-07-31,1179.0
