date,C50:MCA.MDC.V
2019-01-31,-45502.0
2019-02-28,-45588.0
2019-03-31,-44558.0
2019-04-30,-45208.0
2019-05-31,-45725.0
2019-06-30,-45808.0
2019-07-31,-46346.0
2019-08-31,-46528.0
2019-09-30,-46588.0
2019-10-31,-46854.0
2019-11-30,-47240.0
2019-12-31,-47501.0
2020-01-31,-48158.0
2020-02-29,-48832.0
2020-03-31,-48365.0
2020-04-30,-48500.0
2020-05-31,-48829.0
2020-06-30,-48906.0
2020-07-31,-49299.0
2020-08-31,-49870.0
2020-09-30,-50212.0
2020-10-31,-50643.0
2020-11-30,-50902.0
2020-12-31,-51446.0
2021-01-31,-52043.0
2021-02-28,-52433.0
2021-03-31,-53555.0
2021-04-30,-53981.0
2021-05-31,-54396.0
2021-06-30,-53931.0
2021-07-31,-52116.0
2021-08-31,-52297.0
2021-09-30,-53019.0
2021-10-31,-53676.0
2021-11-30,-54432.0
2021-12-31,-54604.0
2022-01-31,-55500.0
2022-02-28,-55571.0
2022-03-31,-56273.0
2022-04-30,-57243.0
2022-05-31,-57809.0
2022-06-30,-57934.0
2022-07-31,-58911.0
2022-08-31,-59354.0
2022-09-30,-58914.0
2022-10-31,-59455.0
2022-11-30,-60997.0
2022-12-31,-61162.0
2023-01-31,-61676.0
2023-02-28,-61949.0
2023-03-31,-61468.0
2023-04-30,-62320.0
2023-05-31,-62915.0
2023-06-30,-62974.0
2023-07-31,-64167.0
2023-08-31,-64526.0
2023-09-30,-65621.0
2023-10-31,-66496.0
2023-11-30,-66871.0
2023-12-31,-66125.0
2024-01-31,-66880.0
2024-02-29,-67161.0
2024-03-31,-67066.0
2024-04-30,-67834.0
2024-05-31,-68481.0
2024-06-30,-67984.0
2024-07-31,-68991.0
2024-08-31,-69532.0
2024-09-30,-68393.0
2024-10-31,-69350.0
2024-11-30,-69968.0
2024-12-31,-70180.0
2025-01-31,-70846.0
2025-02-28,-71371.0
2025-03-31,-70771.0
2025-04-30,-71278.0
2025-05-31,-71741.0
2025-06-30,-71874.0
2025-07-31,-72182.0
2025-08-31,-72717.0
2025-09-30,-72502.0
2025-10-31,-73252.0
2025-11-30,-73814.0
2025-12-31,-73899.0
2026-01-31,-74227.0
2026-02-28,-74571.0
2026-03-31,-73582.0
2026-04-30,-74056.0
2026-05-31,-74591.0
2026-06-30,-75396.0
2026-07-31,-75235.0
