date,R3:MFS.MRL02221.DZP01ZZZN
2019-01-31,14298.0
2019-02-28,15749.0
2019-03-31,6154.0
2019-04-30,4076.0
2019-05-31,7724.0
2019-06-30,6206.0
2019-07-31,2869.0
2019-08-31,5628.0
2019-09-30,5396.0
2019-10-31,4867.0
2019-11-30,4352.0
2019-12-31,3048.0
2020-01-31,9012.0
2020-02-29,8868.0
2020-03-31,3721.0
2020-04-30,1475.0
2020-05-31,9669.0
2020-06-30,18159.0
2020-07-31,19917.0
2020-08-31,23761.0
2020-09-30,28539.0
2020-10-31,28783.0
2020-11-30,31645.0
2020-12-31,28268.0
2021-01-31,36434.0
2021-02-28,38445.0
2021-03-31,42044.0
2021-04-30,40061.0
2021-05-31,36498.0
2021-06-30,39023.0
2021-07-31,37611.0
2021-08-31,40251.0
2021-09-30,41119.0
2021-10-31,37453.0
2021-11-30,35939.0
2021-12-31,29618.0
2022-01-31,35684.0
2022-02-28,35369.0
2022-03-31,31164.0
2022-04-30,26684.0
2022-05-31,33400.0
2022-06-30,33150.0
2022-07-31,29655.0
2022-08-31,32169.0
2022-09-30,31838.0
2022-10-31,30289.0
2022-11-30,29808.0
2022-12-31,23296.0
2023-01-31,31089.0
2023-02-28,32114.0
2023-03-31,35795.0
2023-04-30,17356.0
2023-05-31,22696.0
2023-06-30,21602.0
2023-07-31,21120.0
2023-08-31,24908.0
2023-09-30,24940.0
2023-10-31,24283.0
2023-11-30,24802.0
2023-12-31,19687.0
2024-01-31,27032.0
2024-02-29,30692.0
2024-03-31,31595.0
2024-04-30,35042.0
2024-05-31,23754.0
2024-06-30,30336.0
2024-07-31,28910.0
2024-08-31,35328.0
2024-09-30,32060.0
2024-10-31,34688.0
2024-11-30,32439.0
2024-12-31,29474.0
2025-01-31,36386.0
2025-02-28,40428.0
2025-03-31,38382.0
2025-04-30,23568.0
2025-05-31,26034.0
2025-06-30,23718.0
2025-07-31,25232.0
2025-08-31,26866.0
2025-09-30,26379.0
2025-10-31,23552.0
2025-11-30,28594.0
2025-12-31,20496.0
2026-01-31,29129.0
2026-02-28,26968.0
2026-03-31,30605.0
2026-04-30,29646.0
2026-05-31,27167.0
2026-06-30,28862.0
2026-07-31,29080.0
