date,R1:RBNZ.MRA1222
2019-01-31,0.0
2019-02-28,0.0
2019-03-31,0.0
2019-04-30,0.0
2019-05-31,0.0
2019-06-30,0.0
2019-07-31,0.0
2019-08-31,0.0
2019-09-30,0.0
2019-10-31,0.0
2019-11-30,0.0
2019-12-31,0.0
2020-01-31,0.0
2020-02-29,0.0
2020-03-31,1079.0
2020-04-30,9534.0
2020-05-31,16574.0
2020-06-30,21989.0
2020-07-31,27750.0
2020-08-31,33688.0
2020-09-30,41058.0
2020-10-31,45587.0
2020-11-30,48827.0
2020-12-31,50839.0
2021-01-31,52027.0
2021-02-28,52114.0
2021-03-31,55374.0
2021-04-30,56968.0
2021-05-31,56411.0
2021-06-30,57496.0
2021-07-31,58908.0
2021-08-31,58120.0
2021-09-30,57581.0
2021-10-31,55093.0
2021-11-30,55702.0
2021-12-31,55621.0
2022-01-31,55313.0
2022-02-28,54891.0
2022-03-31,53646.0
2022-04-30,51660.0
2022-05-31,51641.0
2022-06-30,51283.0
2022-07-31,52123.0
2022-08-31,50365.0
2022-09-30,49575.0
2022-10-31,48812.0
2022-11-30,48951.0
2022-12-31,47858.0
2023-01-31,48371.0
2023-02-28,47325.0
2023-03-31,47849.0
2023-04-30,39497.0
2023-05-31,38975.0
2023-06-30,38103.0
2023-07-31,37763.0
2023-08-31,37365.0
2023-09-30,36560.0
2023-10-31,35792.0
2023-11-30,36319.0
2023-12-31,36859.0
2024-01-31,36302.0
2024-02-29,35847.0
2024-03-31,35806.0
2024-04-30,34537.0
2024-05-31,29238.0
2024-06-30,29039.0
2024-07-31,29218.0
2024-08-31,29037.0
2024-09-30,28822.0
2024-10-31,28048.0
2024-11-30,27793.0
2024-12-31,27638.0
2025-01-31,27298.0
2025-02-28,27052.0
2025-03-31,26762.0
2025-04-30,19737.0
2025-05-31,19318.0
2025-06-30,19050.0
2025-07-31,18765.0
2025-08-31,18579.0
2025-09-30,17511.0
2025-10-31,16959.0
2025-11-30,16282.0
2025-12-31,15850.0
2026-01-31,15462.0
2026-02-28,15169.0
2026-03-31,14669.0
2026-04-30,13925.0
2026-05-31,12658.0
2026-06-30,12297.0
2026-07-31,11860.0
