date,D30:ROSN.MAB2.P9ZZP
2019-01-31,0.0
2019-02-28,0.0
2019-03-31,0.0
2019-04-30,0.0
2019-05-31,0.0
2019-06-30,0.0
2019-07-31,0.0
2019-08-31,20.0
2019-09-30,20.0
2019-10-31,20.0
2019-11-30,15.0
2019-12-31,50.0
2020-01-31,100.0
2020-02-29,100.0
2020-03-31,100.0
2020-04-30,288.0
2020-05-31,588.0
2020-06-30,620.0
2020-07-31,620.0
2020-08-31,640.0
2020-09-30,705.0
2020-10-31,705.0
2020-11-30,727.0
2020-12-31,773.0
2021-01-31,827.0
2021-02-28,827.0
2021-03-31,827.0
2021-04-30,946.0
2021-05-31,933.0
2021-06-30,904.0
2021-07-31,889.0
2021-08-31,889.0
2021-09-30,889.0
2021-10-31,889.0
2021-11-30,1053.0
2021-12-31,1107.0
2022-01-31,1107.0
2022-02-28,1107.0
2022-03-31,1263.0
2022-04-30,1270.0
2022-05-31,1442.0
2022-06-30,1438.0
2022-07-31,1498.0
2022-08-31,1398.0
2022-09-30,1270.0
2022-10-31,1251.0
2022-11-30,1113.0
2022-12-31,1113.0
2023-01-31,1113.0
2023-02-28,1113.0
2023-03-31,1113.0
2023-04-30,1023.0
2023-05-31,1016.0
2023-06-30,950.0
2023-07-31,950.0
2023-08-31,950.0
2023-09-30,950.0
2023-10-31,950.0
2023-11-30,970.0
2023-12-31,970.0
2024-01-31,970.0
2024-02-29,970.0
2024-03-31,1100.0
2024-04-30,1120.0
2024-05-31,1120.0
2024-06-30,1040.0
2024-07-31,995.0
2024-08-31,930.0
2024-09-30,930.0
2024-10-31,855.0
2024-11-30,855.0
2024-12-31,855.0
2025-01-31,855.0
2025-02-28,695.0
2025-03-31,695.0
2025-04-30,745.0
2025-05-31,782.0
2025-06-30,542.0
2025-07-31,493.0
2025-08-31,443.0
2025-09-30,452.0
2025-10-31,452.0
2025-11-30,447.0
2025-12-31,390.0
2026-01-31,390.0
2026-02-28,390.0
2026-03-31,390.0
2026-04-30,390.0
2026-05-31,390.0
2026-06-30,390.0
2026-07-31,325.0
