date,D30:ROSN.MAG1.P1
2019-01-31,58.5
2019-02-28,60.1
2019-03-31,61.0
2019-04-30,59.4
2019-05-31,59.5
2019-06-30,58.0
2019-07-31,59.1
2019-08-31,58.7
2019-09-30,58.1
2019-10-31,57.8
2019-11-30,57.6
2019-12-31,57.0
2020-01-31,58.1
2020-02-29,57.1
2020-03-31,54.3
2020-04-30,56.2
2020-05-31,57.8
2020-06-30,54.8
2020-07-31,56.7
2020-08-31,54.1
2020-09-30,53.9
2020-10-31,52.8
2020-11-30,53.8
2020-12-31,53.5
2021-01-31,55.1
2021-02-28,55.6
2021-03-31,55.7
2021-04-30,53.9
2021-05-31,54.6
2021-06-30,55.5
2021-07-31,57.7
2021-08-31,57.9
2021-09-30,58.7
2021-10-31,61.0
2021-11-30,61.7
2021-12-31,62.6
2022-01-31,63.1
2022-02-28,64.6
2022-03-31,64.4
2022-04-30,63.8
2022-05-31,63.5
2022-06-30,63.6
2022-07-31,63.9
2022-08-31,63.5
2022-09-30,62.6
2022-10-31,63.6
2022-11-30,64.9
2022-12-31,66.1
2023-01-31,66.9
2023-02-28,65.5
2023-03-31,65.7
2023-04-30,68.2
2023-05-31,69.4
2023-06-30,70.2
2023-07-31,68.0
2023-08-31,68.3
2023-09-30,68.0
2023-10-31,66.9
2023-11-30,66.0
2023-12-31,66.6
2024-01-31,67.0
2024-02-29,67.7
2024-03-31,67.6
2024-04-30,66.7
2024-05-31,66.0
2024-06-30,64.9
2024-07-31,63.6
2024-08-31,64.4
2024-09-30,65.9
2024-10-31,66.3
2024-11-30,65.3
2024-12-31,65.8
2025-01-31,66.1
2025-02-28,65.8
2025-03-31,65.9
2025-04-30,65.7
2025-05-31,66.0
2025-06-30,66.9
2025-07-31,66.7
2025-08-31,65.3
2025-09-30,63.1
2025-10-31,63.8
2025-11-30,62.9
2025-12-31,62.3
2026-01-31,61.0
2026-02-28,62.1
2026-03-31,61.8
2026-04-30,62.3
2026-05-31,63.5
2026-06-30,61.1
2026-07-31,62.3
