date,R1:RBNZ.MRA138
2019-01-31,391.0
2019-02-28,484.0
2019-03-31,542.0
2019-04-30,704.0
2019-05-31,959.0
2019-06-30,715.0
2019-07-31,696.0
2019-08-31,966.0
2019-09-30,1093.0
2019-10-31,1025.0
2019-11-30,715.0
2019-12-31,399.0
2020-01-31,681.0
2020-02-29,959.0
2020-03-31,3660.0
2020-04-30,3838.0
2020-05-31,3848.0
2020-06-30,3712.0
2020-07-31,3782.0
2020-08-31,3864.0
2020-09-30,3903.0
2020-10-31,3792.0
2020-11-30,3714.0
2020-12-31,3807.0
2021-01-31,3767.0
2021-02-28,4186.0
2021-03-31,3803.0
2021-04-30,4008.0
2021-05-31,523.0
2021-06-30,679.0
2021-07-31,539.0
2021-08-31,530.0
2021-09-30,561.0
2021-10-31,471.0
2021-11-30,776.0
2021-12-31,777.0
2022-01-31,1055.0
2022-02-28,852.0
2022-03-31,650.0
2022-04-30,1026.0
2022-05-31,1055.0
2022-06-30,1636.0
2022-07-31,1711.0
2022-08-31,3159.0
2022-09-30,3868.0
2022-10-31,3299.0
2022-11-30,3095.0
2022-12-31,1887.0
2023-01-31,1209.0
2023-02-28,2106.0
2023-03-31,3103.0
2023-04-30,1927.0
2023-05-31,1975.0
2023-06-30,1853.0
2023-07-31,2675.0
2023-08-31,2314.0
2023-09-30,2170.0
2023-10-31,2611.0
2023-11-30,2187.0
2023-12-31,1982.0
2024-01-31,2193.0
2024-02-29,2913.0
2024-03-31,3184.0
2024-04-30,3730.0
2024-05-31,1533.0
2024-06-30,1737.0
2024-07-31,3275.0
2024-08-31,1997.0
2024-09-30,2185.0
2024-10-31,3690.0
2024-11-30,3882.0
2024-12-31,5000.0
2025-01-31,5252.0
2025-02-28,5108.0
2025-03-31,4591.0
2025-04-30,1940.0
2025-05-31,1645.0
2025-06-30,1277.0
2025-07-31,1624.0
2025-08-31,2673.0
2025-09-30,2489.0
2025-10-31,2593.0
2025-11-30,2916.0
2025-12-31,2672.0
2026-01-31,1915.0
2026-02-28,2132.0
2026-03-31,4328.0
2026-04-30,2605.0
2026-05-31,1811.0
2026-06-30,3152.0
2026-07-31,2247.0
