date,R1:RBNZ.MRA103
2019-01-31,9898.0
2019-02-28,8018.0
2019-03-31,8085.0
2019-04-30,7970.0
2019-05-31,8713.0
2019-06-30,7811.0
2019-07-31,6882.0
2019-08-31,7768.0
2019-09-30,7973.0
2019-10-31,8087.0
2019-11-30,9362.0
2019-12-31,9373.0
2020-01-31,14000.0
2020-02-29,13891.0
2020-03-31,13049.0
2020-04-30,14999.0
2020-05-31,13696.0
2020-06-30,15661.0
2020-07-31,12671.0
2020-08-31,10811.0
2020-09-30,10293.0
2020-10-31,9064.0
2020-11-30,8672.0
2020-12-31,7415.0
2021-01-31,8127.0
2021-02-28,7799.0
2021-03-31,8724.0
2021-04-30,8534.0
2021-05-31,8562.0
2021-06-30,7946.0
2021-07-31,8269.0
2021-08-31,7325.0
2021-09-30,7349.0
2021-10-31,6534.0
2021-11-30,6838.0
2021-12-31,6811.0
2022-01-31,6271.0
2022-02-28,6174.0
2022-03-31,5746.0
2022-04-30,5955.0
2022-05-31,5662.0
2022-06-30,5736.0
2022-07-31,5777.0
2022-08-31,7433.0
2022-09-30,8035.0
2022-10-31,7304.0
2022-11-30,6449.0
2022-12-31,6960.0
2023-01-31,5342.0
2023-02-28,5000.0
2023-03-31,4679.0
2023-04-30,4951.0
2023-05-31,7004.0
2023-06-30,6503.0
2023-07-31,8262.0
2023-08-31,9325.0
2023-09-30,8997.0
2023-10-31,8980.0
2023-11-30,11347.0
2023-12-31,12110.0
2024-01-31,10574.0
2024-02-29,12730.0
2024-03-31,13020.0
2024-04-30,13211.0
2024-05-31,12124.0
2024-06-30,11679.0
2024-07-31,14295.0
2024-08-31,11350.0
2024-09-30,10222.0
2024-10-31,11857.0
2024-11-30,12935.0
2024-12-31,15810.0
2025-01-31,16958.0
2025-02-28,17043.0
2025-03-31,13791.0
2025-04-30,13196.0
2025-05-31,13346.0
2025-06-30,12399.0
2025-07-31,10827.0
2025-08-31,10491.0
2025-09-30,10498.0
2025-10-31,10081.0
2025-11-30,11974.0
2025-12-31,13770.0
2026-01-31,12512.0
2026-02-28,12895.0
2026-03-31,14863.0
2026-04-30,15008.0
2026-05-31,17397.0
2026-06-30,19289.0
2026-07-31,18228.0
