date,D30:ROSN.MAB2.P4ZZE
2019-01-31,3791.0
2019-02-28,3657.0
2019-03-31,3621.0
2019-04-30,3579.0
2019-05-31,3261.0
2019-06-30,2722.0
2019-07-31,2563.0
2019-08-31,2354.0
2019-09-30,2206.0
2019-10-31,2088.0
2019-11-30,1988.0
2019-12-31,2068.0
2020-01-31,2018.0
2020-02-29,2196.0
2020-03-31,2711.0
2020-04-30,6588.0
2020-05-31,8852.0
2020-06-30,10026.0
2020-07-31,9000.0
2020-08-31,9234.0
2020-09-30,9662.0
2020-10-31,8873.0
2020-11-30,7821.0
2020-12-31,7051.0
2021-01-31,5537.0
2021-02-28,5193.0
2021-03-31,5996.0
2021-04-30,6049.0
2021-05-31,6340.0
2021-06-30,6381.0
2021-07-31,6591.0
2021-08-31,5939.0
2021-09-30,6136.0
2021-10-31,6358.0
2021-11-30,6415.0
2021-12-31,6115.0
2022-01-31,4923.0
2022-02-28,4362.0
2022-03-31,3813.0
2022-04-30,3518.0
2022-05-31,2944.0
2022-06-30,2548.0
2022-07-31,2655.0
2022-08-31,2458.0
2022-09-30,2313.0
2022-10-31,2173.0
2022-11-30,2160.0
2022-12-31,1775.0
2023-01-31,1615.0
2023-02-28,1713.0
2023-03-31,2044.0
2023-04-30,2080.0
2023-05-31,2057.0
2023-06-30,2185.0
2023-07-31,2230.0
2023-08-31,2565.0
2023-09-30,2547.0
2023-10-31,2615.0
2023-11-30,3130.0
2023-12-31,3089.0
2024-01-31,3166.0
2024-02-29,3129.0
2024-03-31,3427.0
2024-04-30,3465.0
2024-05-31,3338.0
2024-06-30,3514.0
2024-07-31,3513.0
2024-08-31,3362.0
2024-09-30,3083.0
2024-10-31,2721.0
2024-11-30,2374.0
2024-12-31,2019.0
2025-01-31,1827.0
2025-02-28,2216.0
2025-03-31,2603.0
2025-04-30,3097.0
2025-05-31,1945.0
2025-06-30,2362.0
2025-07-31,2343.0
2025-08-31,2249.0
2025-09-30,2436.0
2025-10-31,2437.0
2025-11-30,1989.0
2025-12-31,2217.0
2026-01-31,2145.0
2026-02-28,2401.0
2026-03-31,3004.0
2026-04-30,3084.0
2026-05-31,3638.0
2026-06-30,3720.0
2026-07-31,3550.0
