date,D30:ROSN.MAB2.P9ZZE
2019-01-31,680.0
2019-02-28,654.0
2019-03-31,668.0
2019-04-30,997.0
2019-05-31,940.0
2019-06-30,1017.0
2019-07-31,1219.0
2019-08-31,1283.0
2019-09-30,1761.0
2019-10-31,1724.0
2019-11-30,2058.0
2019-12-31,2036.0
2020-01-31,1855.0
2020-02-29,1939.0
2020-03-31,2077.0
2020-04-30,2446.0
2020-05-31,2350.0
2020-06-30,2187.0
2020-07-31,2187.0
2020-08-31,2090.0
2020-09-30,2215.0
2020-10-31,2182.0
2020-11-30,2023.0
2020-12-31,1970.0
2021-01-31,1980.0
2021-02-28,2097.0
2021-03-31,1984.0
2021-04-30,2391.0
2021-05-31,2440.0
2021-06-30,2384.0
2021-07-31,2498.0
2021-08-31,2576.0
2021-09-30,2663.0
2021-10-31,2760.0
2021-11-30,2595.0
2021-12-31,2563.0
2022-01-31,2580.0
2022-02-28,2917.0
2022-03-31,2868.0
2022-04-30,2901.0
2022-05-31,3252.0
2022-06-30,3219.0
2022-07-31,3311.0
2022-08-31,3427.0
2022-09-30,3588.0
2022-10-31,3664.0
2022-11-30,3850.0
2022-12-31,3813.0
2023-01-31,3754.0
2023-02-28,3707.0
2023-03-31,3712.0
2023-04-30,3703.0
2023-05-31,3623.0
2023-06-30,3418.0
2023-07-31,3434.0
2023-08-31,3481.0
2023-09-30,3539.0
2023-10-31,3569.0
2023-11-30,3582.0
2023-12-31,3667.0
2024-01-31,3577.0
2024-02-29,3567.0
2024-03-31,3428.0
2024-04-30,3345.0
2024-05-31,3291.0
2024-06-30,3342.0
2024-07-31,3279.0
2024-08-31,3101.0
2024-09-30,3078.0
2024-10-31,3152.0
2024-11-30,3176.0
2024-12-31,3152.0
2025-01-31,3116.0
2025-02-28,3144.0
2025-03-31,2914.0
2025-04-30,2862.0
2025-05-31,2862.0
2025-06-30,2400.0
2025-07-31,2395.0
2025-08-31,2436.0
2025-09-30,2331.0
2025-10-31,1940.0
2025-11-30,1929.0
2025-12-31,2032.0
2026-01-31,1977.0
2026-02-28,1870.0
2026-03-31,1796.0
2026-04-30,1853.0
2026-05-31,1784.0
2026-06-30,1728.0
2026-07-31,1897.0
