date,D30:ROSN.MAF1.P
2019-01-31,80252.0
2019-02-28,80342.0
2019-03-31,76244.0
2019-04-30,76579.0
2019-05-31,76180.0
2019-06-30,75672.0
2019-07-31,76447.0
2019-08-31,76949.0
2019-09-30,79500.0
2019-10-31,80364.0
2019-11-30,81151.0
2019-12-31,81674.0
2020-01-31,81177.0
2020-02-29,81811.0
2020-03-31,82157.0
2020-04-30,81509.0
2020-05-31,82457.0
2020-06-30,90605.0
2020-07-31,92118.0
2020-08-31,91605.0
2020-09-30,93757.0
2020-10-31,90898.0
2020-11-30,92004.0
2020-12-31,90756.0
2021-01-31,90226.0
2021-02-28,93158.0
2021-03-31,93394.0
2021-04-30,93812.0
2021-05-31,87340.0
2021-06-30,89748.0
2021-07-31,91253.0
2021-08-31,93847.0
2021-09-30,98594.0
2021-10-31,100214.0
2021-11-30,102634.0
2021-12-31,103858.0
2022-01-31,102755.0
2022-02-28,103329.0
2022-03-31,103946.0
2022-04-30,104409.0
2022-05-31,105902.0
2022-06-30,106517.0
2022-07-31,108021.0
2022-08-31,110564.0
2022-09-30,112162.0
2022-10-31,113406.0
2022-11-30,117834.0
2022-12-31,118971.0
2023-01-31,119401.0
2023-02-28,121067.0
2023-03-31,125335.0
2023-04-30,119829.0
2023-05-31,121644.0
2023-06-30,123085.0
2023-07-31,129985.0
2023-08-31,133276.0
2023-09-30,135673.0
2023-10-31,138196.0
2023-11-30,140760.0
2023-12-31,141532.0
2024-01-31,142538.0
2024-02-29,147951.0
2024-03-31,150039.0
2024-04-30,156250.0
2024-05-31,150980.0
2024-06-30,156426.0
2024-07-31,158886.0
2024-08-31,165718.0
2024-09-30,167544.0
2024-10-31,174043.0
2024-11-30,175353.0
2024-12-31,176042.0
2025-01-31,176407.0
2025-02-28,183584.0
2025-03-31,185873.0
2025-04-30,185510.0
2025-05-31,187264.0
2025-06-30,187348.0
2025-07-31,194814.0
2025-08-31,196389.0
2025-09-30,197695.0
2025-10-31,199150.0
2025-11-30,205340.0
2025-12-31,206558.0
2026-01-31,206809.0
2026-02-28,208568.0
2026-03-31,211212.0
2026-04-30,213487.0
2026-05-31,209161.0
2026-06-30,211691.0
2026-07-31,218815.0
