date,D30:ROSN.MAB2.P2ZZT
2019-01-31,36.0
2019-02-28,36.0
2019-03-31,39.0
2019-04-30,40.0
2019-05-31,41.0
2019-06-30,38.0
2019-07-31,39.0
2019-08-31,45.0
2019-09-30,51.0
2019-10-31,52.0
2019-11-30,52.0
2019-12-31,52.0
2020-01-31,53.0
2020-02-29,53.0
2020-03-31,52.0
2020-04-30,51.0
2020-05-31,52.0
2020-06-30,53.0
2020-07-31,65.0
2020-08-31,64.0
2020-09-30,68.0
2020-10-31,67.0
2020-11-30,70.0
2020-12-31,71.0
2021-01-31,73.0
2021-02-28,73.0
2021-03-31,73.0
2021-04-30,67.0
2021-05-31,65.0
2021-06-30,59.0
2021-07-31,53.0
2021-08-31,55.0
2021-09-30,54.0
2021-10-31,53.0
2021-11-30,43.0
2021-12-31,42.0
2022-01-31,42.0
2022-02-28,42.0
2022-03-31,47.0
2022-04-30,45.0
2022-05-31,39.0
2022-06-30,40.0
2022-07-31,40.0
2022-08-31,50.0
2022-09-30,55.0
2022-10-31,56.0
2022-11-30,54.0
2022-12-31,55.0
2023-01-31,58.0
2023-02-28,59.0
2023-03-31,58.0
2023-04-30,58.0
2023-05-31,58.0
2023-06-30,59.0
2023-07-31,61.0
2023-08-31,62.0
2023-09-30,62.0
2023-10-31,63.0
2023-11-30,61.0
2023-12-31,61.0
2024-01-31,62.0
2024-02-29,65.0
2024-03-31,64.0
2024-04-30,64.0
2024-05-31,65.0
2024-06-30,65.0
2024-07-31,62.0
2024-08-31,60.0
2024-09-30,56.0
2024-10-31,56.0
2024-11-30,56.0
2024-12-31,58.0
2025-01-31,58.0
2025-02-28,58.0
2025-03-31,54.0
2025-04-30,46.0
2025-05-31,47.0
2025-06-30,47.0
2025-07-31,47.0
2025-08-31,46.0
2025-09-30,36.0
2025-10-31,36.0
2025-11-30,37.0
2025-12-31,37.0
2026-01-31,37.0
2026-02-28,37.0
2026-03-31,37.0
2026-04-30,32.0
2026-05-31,33.0
2026-06-30,33.0
2026-07-31,33.0
