date,D30:ROSN.MAB2.P1ZZP
2019-01-31,5014.0
2019-02-28,5109.0
2019-03-31,5292.0
2019-04-30,5389.0
2019-05-31,5450.0
2019-06-30,5479.0
2019-07-31,5493.0
2019-08-31,5356.0
2019-09-30,5986.0
2019-10-31,5896.0
2019-11-30,5726.0
2019-12-31,5601.0
2020-01-31,5375.0
2020-02-29,5639.0
2020-03-31,4600.0
2020-04-30,3968.0
2020-05-31,3608.0
2020-06-30,3124.0
2020-07-31,2945.0
2020-08-31,3193.0
2020-09-30,2718.0
2020-10-31,2523.0
2020-11-30,2409.0
2020-12-31,2482.0
2021-01-31,2008.0
2021-02-28,2046.0
2021-03-31,1978.0
2021-04-30,2261.0
2021-05-31,2138.0
2021-06-30,2272.0
2021-07-31,2016.0
2021-08-31,1888.0
2021-09-30,2030.0
2021-10-31,2380.0
2021-11-30,2715.0
2021-12-31,2617.0
2022-01-31,2681.0
2022-02-28,2539.0
2022-03-31,2441.0
2022-04-30,2218.0
2022-05-31,2538.0
2022-06-30,2885.0
2022-07-31,3188.0
2022-08-31,3386.0
2022-09-30,3543.0
2022-10-31,3905.0
2022-11-30,3925.0
2022-12-31,4175.0
2023-01-31,4340.0
2023-02-28,4475.0
2023-03-31,4354.0
2023-04-30,3903.0
2023-05-31,3498.0
2023-06-30,3466.0
2023-07-31,4349.0
2023-08-31,4365.0
2023-09-30,4695.0
2023-10-31,5265.0
2023-11-30,6178.0
2023-12-31,7002.0
2024-01-31,7033.0
2024-02-29,6958.0
2024-03-31,7174.0
2024-04-30,7706.0
2024-05-31,8144.0
2024-06-30,7739.0
2024-07-31,7917.0
2024-08-31,7048.0
2024-09-30,6556.0
2024-10-31,7179.0
2024-11-30,8729.0
2024-12-31,8812.0
2025-01-31,8422.0
2025-02-28,8621.0
2025-03-31,8539.0
2025-04-30,8429.0
2025-05-31,8826.0
2025-06-30,9015.0
2025-07-31,9055.0
2025-08-31,9674.0
2025-09-30,9844.0
2025-10-31,10415.0
2025-11-30,11231.0
2025-12-31,11233.0
2026-01-31,11033.0
2026-02-28,11380.0
2026-03-31,10998.0
2026-04-30,11149.0
2026-05-31,10781.0
2026-06-30,10949.0
2026-07-31,10978.0
