date,C50:MCA.MDC.W
2019-01-31,-23013.0
2019-02-28,-23238.0
2019-03-31,-23173.0
2019-04-30,-23484.0
2019-05-31,-23407.0
2019-06-30,-22604.0
2019-07-31,-22916.0
2019-08-31,-24211.0
2019-09-30,-25875.0
2019-10-31,-24701.0
2019-11-30,-24798.0
2019-12-31,-24673.0
2020-01-31,-26165.0
2020-02-29,-26267.0
2020-03-31,-30996.0
2020-04-30,-31680.0
2020-05-31,-31319.0
2020-06-30,-29914.0
2020-07-31,-30821.0
2020-08-31,-30513.0
2020-09-30,-26750.0
2020-10-31,-27732.0
2020-11-30,-27780.0
2020-12-31,-27256.0
2021-01-31,-27219.0
2021-02-28,-27938.0
2021-03-31,-25825.0
2021-04-30,-26726.0
2021-05-31,-26984.0
2021-06-30,-26094.0
2021-07-31,-26220.0
2021-08-31,-25307.0
2021-09-30,-26759.0
2021-10-31,-28497.0
2021-11-30,-27448.0
2021-12-31,-24090.0
2022-01-31,-25827.0
2022-02-28,-25962.0
2022-03-31,-25511.0
2022-04-30,-27408.0
2022-05-31,-26159.0
2022-06-30,-27150.0
2022-07-31,-27705.0
2022-08-31,-29557.0
2022-09-30,-29531.0
2022-10-31,-28997.0
2022-11-30,-29895.0
2022-12-31,-29212.0
2023-01-31,-26856.0
2023-02-28,-27914.0
2023-03-31,-28481.0
2023-04-30,-29147.0
2023-05-31,-29794.0
2023-06-30,-28029.0
2023-07-31,-29274.0
2023-08-31,-28139.0
2023-09-30,-30079.0
2023-10-31,-29656.0
2023-11-30,-29766.0
2023-12-31,-31182.0
2024-01-31,-30616.0
2024-02-29,-32818.0
2024-03-31,-31838.0
2024-04-30,-31305.0
2024-05-31,-30940.0
2024-06-30,-29734.0
2024-07-31,-30313.0
2024-08-31,-30150.0
2024-09-30,-32929.0
2024-10-31,-28776.0
2024-11-30,-30025.0
2024-12-31,-32339.0
2025-01-31,-31741.0
2025-02-28,-31359.0
2025-03-31,-31597.0
2025-04-30,-32044.0
2025-05-31,-32670.0
2025-06-30,-35075.0
2025-07-31,-35569.0
2025-08-31,-33975.0
2025-09-30,-35055.0
2025-10-31,-35052.0
2025-11-30,-32849.0
2025-12-31,-33109.0
2026-01-31,-36129.0
2026-02-28,-34989.0
2026-03-31,-36653.0
2026-04-30,-37606.0
2026-05-31,-38305.0
2026-06-30,-35995.0
2026-07-31,-33984.0
