date,D30:ROSN.MAF1.P1
2019-01-31,58126.0
2019-02-28,58016.0
2019-03-31,53594.0
2019-04-30,53464.0
2019-05-31,53464.0
2019-06-30,53434.0
2019-07-31,54234.0
2019-08-31,54884.0
2019-09-30,57134.0
2019-10-31,58034.0
2019-11-30,58464.0
2019-12-31,58839.0
2020-01-31,58567.0
2020-02-29,58977.0
2020-03-31,58496.0
2020-04-30,52371.0
2020-05-31,50269.0
2020-06-30,57224.0
2020-07-31,59911.0
2020-08-31,59754.0
2020-09-30,61884.0
2020-10-31,60284.0
2020-11-30,62774.0
2020-12-31,62384.0
2021-01-31,62224.0
2021-02-28,64844.0
2021-03-31,64542.0
2021-04-30,63730.0
2021-05-31,57212.0
2021-06-30,59422.0
2021-07-31,60702.0
2021-08-31,63202.0
2021-09-30,67702.0
2021-10-31,69679.0
2021-11-30,72202.0
2021-12-31,73702.0
2022-01-31,73902.0
2022-02-28,74702.0
2022-03-31,75702.0
2022-04-30,76302.0
2022-05-31,77302.0
2022-06-30,78102.0
2022-07-31,79502.0
2022-08-31,81102.0
2022-09-30,82702.0
2022-10-31,84077.0
2022-11-30,88677.0
2022-12-31,89866.0
2023-01-31,90666.0
2023-02-28,92254.0
2023-03-31,96235.0
2023-04-30,90825.0
2023-05-31,92825.0
2023-06-30,94425.0
2023-07-31,100825.0
2023-08-31,103325.0
2023-09-30,105325.0
2023-10-31,107825.0
2023-11-30,109725.0
2023-12-31,110855.0
2024-01-31,111855.0
2024-02-29,117355.0
2024-03-31,118946.0
2024-04-30,125046.0
2024-05-31,119655.0
2024-06-30,124655.0
2024-07-31,127069.0
2024-08-31,133948.0
2024-09-30,135948.0
2024-10-31,142598.0
2024-11-30,144418.0
2024-12-31,145718.0
2025-01-31,146644.0
2025-02-28,153644.0
2025-03-31,155644.0
2025-04-30,154702.0
2025-05-31,156502.0
2025-06-30,158302.0
2025-07-31,166102.0
2025-08-31,167652.0
2025-09-30,169182.0
2025-10-31,170557.0
2025-11-30,177407.0
2025-12-31,178357.0
2026-01-31,179183.0
2026-02-28,180876.0
2026-03-31,183126.0
2026-04-30,184926.0
2026-05-31,180032.0
2026-06-30,182087.0
2026-07-31,189937.0
