date,R1:RBNZ.MRL124
2019-01-31,6807.0
2019-02-28,6721.0
2019-03-31,6703.0
2019-04-30,6873.0
2019-05-31,6792.0
2019-06-30,6732.0
2019-07-31,6773.0
2019-08-31,6782.0
2019-09-30,6853.0
2019-10-31,7017.0
2019-11-30,7088.0
2019-12-31,7557.0
2020-01-31,7270.0
2020-02-29,7162.0
2020-03-31,7937.0
2020-04-30,7974.0
2020-05-31,8088.0
2020-06-30,7941.0
2020-07-31,7928.0
2020-08-31,8057.0
2020-09-30,8042.0
2020-10-31,8116.0
2020-11-30,8121.0
2020-12-31,8553.0
2021-01-31,8212.0
2021-02-28,8157.0
2021-03-31,8352.0
2021-04-30,8217.0
2021-05-31,8162.0
2021-06-30,8175.0
2021-07-31,8217.0
2021-08-31,8324.0
2021-09-30,8499.0
2021-10-31,8674.0
2021-11-30,8762.0
2021-12-31,9189.0
2022-01-31,8912.0
2022-02-28,8912.0
2022-03-31,9022.0
2022-04-30,9089.0
2022-05-31,8989.0
2022-06-30,8980.0
2022-07-31,8897.0
2022-08-31,8880.0
2022-09-30,8925.0
2022-10-31,9026.0
2022-11-30,9018.0
2022-12-31,9371.0
2023-01-31,9048.0
2023-02-28,9043.0
2023-03-31,9137.0
2023-04-30,9096.0
2023-05-31,8993.0
2023-06-30,8920.0
2023-07-31,8916.0
2023-08-31,8909.0
2023-09-30,8943.0
2023-10-31,8962.0
2023-11-30,9014.0
2023-12-31,9381.0
2024-01-31,9002.0
2024-02-29,8975.0
2024-03-31,9082.0
2024-04-30,8962.0
2024-05-31,8913.0
2024-06-30,8896.0
2024-07-31,8809.0
2024-08-31,8827.0
2024-09-30,8845.0
2024-10-31,8912.0
2024-11-30,8963.0
2024-12-31,9353.0
2025-01-31,9087.0
2025-02-28,9085.0
2025-03-31,9072.0
2025-04-30,9201.0
2025-05-31,9094.0
2025-06-30,9071.0
2025-07-31,9008.0
2025-08-31,9032.0
2025-09-30,9082.0
2025-10-31,9200.0
2025-11-30,9380.0
2025-12-31,9863.0
2026-01-31,9889.0
2026-02-28,9875.0
2026-03-31,10236.0
2026-04-30,10235.0
2026-05-31,10162.0
2026-06-30,10182.0
2026-07-31,10241.0
