date,C50:MCA.MDC.T2
2019-01-31,151129.0
2019-02-28,153437.0
2019-03-31,155586.0
2019-04-30,157826.0
2019-05-31,163652.0
2019-06-30,160268.0
2019-07-31,164836.0
2019-08-31,176961.0
2019-09-30,170305.0
2019-10-31,162932.0
2019-11-30,162987.0
2019-12-31,162402.0
2020-01-31,166465.0
2020-02-29,178519.0
2020-03-31,189428.0
2020-04-30,178852.0
2020-05-31,173468.0
2020-06-30,170745.0
2020-07-31,168608.0
2020-08-31,165171.0
2020-09-30,160108.0
2020-10-31,159354.0
2020-11-30,164306.0
2020-12-31,167951.0
2021-01-31,161568.0
2021-02-28,162633.0
2021-03-31,161181.0
2021-04-30,159818.0
2021-05-31,165068.0
2021-06-30,168281.0
2021-07-31,164416.0
2021-08-31,159826.0
2021-09-30,158757.0
2021-10-31,158707.0
2021-11-30,160587.0
2021-12-31,163023.0
2022-01-31,168440.0
2022-02-28,161205.0
2022-03-31,162207.0
2022-04-30,172586.0
2022-05-31,167105.0
2022-06-30,174994.0
2022-07-31,167044.0
2022-08-31,171956.0
2022-09-30,195119.0
2022-10-31,183299.0
2022-11-30,178222.0
2022-12-31,174385.0
2023-01-31,172501.0
2023-02-28,176480.0
2023-03-31,165226.0
2023-04-30,170528.0
2023-05-31,171928.0
2023-06-30,167955.0
2023-07-31,165615.0
2023-08-31,173220.0
2023-09-30,167147.0
2023-10-31,175029.0
2023-11-30,167379.0
2023-12-31,164400.0
2024-01-31,164159.0
2024-02-29,159341.0
2024-03-31,159858.0
2024-04-30,161054.0
2024-05-31,159538.0
2024-06-30,157078.0
2024-07-31,168100.0
2024-08-31,159902.0
2024-09-30,159705.0
2024-10-31,167610.0
2024-11-30,168538.0
2024-12-31,180098.0
2025-01-31,177726.0
2025-02-28,177052.0
2025-03-31,165310.0
2025-04-30,172176.0
2025-05-31,170524.0
2025-06-30,173094.0
2025-07-31,170098.0
2025-08-31,178069.0
2025-09-30,181831.0
2025-10-31,184217.0
2025-11-30,188296.0
2025-12-31,181659.0
2026-01-31,186528.0
2026-02-28,181245.0
2026-03-31,188422.0
2026-04-30,181068.0
2026-05-31,180087.0
2026-06-30,193141.0
2026-07-31,178928.0
