date,D10:rbnz_transactions
2019-01-31,1326.1
2019-02-28,810.4
2019-03-29,509.7
2019-04-30,94.3
2019-05-31,-328.2
2019-06-28,-105.6
2019-07-31,210.7
2019-08-30,409.7
2019-09-30,-11.7
2019-10-31,-204.3
2019-11-29,9.2
2019-12-31,-779.5
2020-01-31,1235.0
2020-02-28,732.0
2020-03-31,45.0
2020-04-30,2674.0
2020-05-29,121.9
2020-06-30,172.9
2020-07-31,59.9
2020-08-31,-118.9
2020-09-30,-110.1
2020-10-30,-187.4
2020-11-30,-416.7
2020-12-31,-575.8
2021-01-29,725.4
2021-02-26,-16.6
2021-03-31,172.9
2021-04-30,160.6
2021-05-31,-326.0
2021-06-30,419.7
2021-07-30,91.6
2021-08-31,158.3
2021-09-30,-283.1
2021-10-29,-356.5
2021-11-30,418.3
2021-12-31,-577.4
2022-01-31,673.0
2022-02-28,-151.5
2022-03-31,-444.2
2022-04-29,-215.2
2022-05-31,227.0
2022-06-30,342.0
2022-07-29,432.6
2022-08-31,209.4
2022-09-30,1055.4
2022-10-31,-330.8
2022-11-30,-2176.3
2022-12-30,342.0
2023-01-31,-557.8
2023-02-28,-1327.6
2023-03-31,725.3
2023-04-28,-1274.6
2023-05-31,29.9
2023-06-30,201.1
2023-07-31,155.0
2023-08-31,106.8
2023-09-29,18.6
2023-10-31,629.6
2023-11-30,-37.4
2023-12-29,615.7
2024-01-31,2051.0
2024-02-29,1396.9
2024-03-29,2422.5
2024-04-30,924.9
2024-05-31,-791.2
2024-06-27,-60.9
2024-07-31,786.4
2024-08-30,965.8
2024-09-30,23.0
2024-10-31,1697.5
2024-11-29,1070.6
2024-12-31,723.1
2025-01-31,431.5
2025-02-28,71.4
2025-03-31,46.0
2025-04-30,-2582.5
2025-05-30,878.7
2025-06-30,-29.6
2025-07-31,491.6
2025-08-29,506.2
2025-09-30,482.3
2025-10-31,135.2
2025-11-28,22.5
2025-12-31,-489.5
2026-01-30,-799.1
2026-02-27,451.0
2026-03-31,490.6
2026-04-30,-614.3
2026-05-29,-2356.5
2026-06-30,1643.0
2026-07-31,-697.4
