date,D30:ROSN.MAB2.P9ZZR
2019-03-31,6.0
2019-04-30,6.0
2019-07-31,20.0
2019-08-31,20.0
2020-04-30,20.0
2020-05-31,20.0
2020-06-30,20.0
2020-07-31,20.0
2020-08-31,20.0
2020-09-30,20.0
2020-10-31,20.0
2020-11-30,20.0
2020-12-31,20.0
2021-01-31,20.0
2021-02-28,20.0
2021-03-31,20.0
2021-04-30,20.0
2021-05-31,20.0
2021-06-30,20.0
2021-07-31,20.0
2021-08-31,20.0
2021-09-30,20.0
2021-10-31,22.0
2021-11-30,22.0
2021-12-31,22.0
2022-01-31,22.0
2022-02-28,22.0
2022-03-31,22.0
2022-04-30,51.0
2022-05-31,69.0
2022-06-30,69.0
2022-07-31,69.0
2022-08-31,69.0
2022-09-30,69.0
2022-10-31,69.0
2022-11-30,79.0
2022-12-31,79.0
2023-01-31,79.0
2023-02-28,79.0
2023-03-31,79.0
2023-04-30,79.0
2023-05-31,79.0
2023-06-30,28.0
2023-07-31,28.0
2023-08-31,28.0
2023-09-30,28.0
2023-10-31,28.0
2023-11-30,28.0
2023-12-31,28.0
2024-01-31,28.0
2024-02-29,28.0
2024-03-31,56.0
2024-04-30,56.0
2024-05-31,86.0
2024-06-30,97.0
2024-07-31,97.0
2024-08-31,309.0
2024-09-30,333.0
2024-10-31,333.0
2024-11-30,333.0
2024-12-31,333.0
2025-01-31,333.0
2025-02-28,370.0
2025-03-31,440.0
2025-04-30,470.0
2025-05-31,517.0
2025-06-30,402.0
2025-07-31,417.0
2025-08-31,417.0
2025-09-30,457.0
2025-10-31,522.0
2025-11-30,522.0
2025-12-31,424.0
2026-01-31,424.0
2026-02-28,449.0
2026-03-31,449.0
2026-04-30,519.0
2026-05-31,519.0
2026-06-30,519.0
2026-07-31,405.0
