date,D10:net_fx_swaps
2019-01-31,3372.8
2019-02-28,-1210.0
2019-03-29,-2214.5
2019-04-30,-2108.5
2019-05-31,2886.4
2019-06-28,-586.1
2019-07-31,-2742.0
2019-08-30,1661.9
2019-09-30,-29.2
2019-10-31,-2294.6
2019-11-29,1384.1
2019-12-31,-743.0
2020-01-31,3797.6
2020-02-28,65.9
2020-03-31,6866.0
2020-04-30,-4523.0
2020-05-29,-792.8
2020-06-30,307.8
2020-07-31,-3627.0
2020-08-31,-5365.3
2020-09-30,-3246.1
2020-10-30,-1151.0
2020-11-30,-4.4
2020-12-31,-5.0
2021-01-29,-3.3
2021-02-26,-54.2
2021-03-31,444.0
2021-04-30,594.4
2021-05-31,-143.2
2021-06-30,822.8
2021-07-30,-1003.9
2021-08-31,1755.7
2021-09-30,-105.7
2021-10-29,701.6
2021-11-30,-1040.4
2021-12-31,607.5
2022-01-31,-145.2
2022-02-28,-206.6
2022-03-31,-42.3
2022-04-29,-2169.8
2022-05-31,3704.4
2022-06-30,-2665.5
2022-07-29,-5.3
2022-08-31,-426.0
2022-09-30,294.7
2022-10-31,-691.1
2022-11-30,3698.0
2022-12-30,-264.0
2023-01-31,384.4
2023-02-28,3405.3
2023-03-31,-2893.5
2023-04-28,1619.4
2023-05-31,294.2
2023-06-30,-4232.7
2023-07-31,1949.6
2023-08-31,985.1
2023-09-29,-346.6
2023-10-31,1289.0
2023-11-30,1398.4
2023-12-29,-4534.2
2024-01-31,4629.1
2024-02-29,-488.1
2024-03-29,-2103.9
2024-04-30,2839.2
2024-05-31,-2855.4
2024-06-27,1052.4
2024-07-31,2237.6
2024-08-30,-899.8
2024-09-30,-996.5
2024-10-31,4218.5
2024-11-29,704.9
2024-12-31,-2648.9
2025-01-31,6031.4
2025-02-28,758.2
2025-03-31,824.4
2025-04-30,-563.3
2025-05-30,1312.0
2025-06-30,-1085.8
2025-07-31,2106.3
2025-08-29,-1562.3
2025-09-30,394.5
2025-10-31,-959.8
2025-11-28,5355.2
2025-12-31,-2791.1
2026-01-30,527.6
2026-02-27,27.2
2026-03-31,1873.2
2026-04-30,1672.9
2026-05-29,-762.7
2026-06-30,-144.0
2026-07-31,1154.1
