date,D30:ROSN.MAG1.P2
2019-01-31,38.7
2019-02-28,38.2
2019-03-31,38.2
2019-04-30,36.6
2019-05-31,35.5
2019-06-30,34.6
2019-07-31,36.2
2019-08-31,36.0
2019-09-30,35.8
2019-10-31,35.8
2019-11-30,35.8
2019-12-31,35.1
2020-01-31,35.3
2020-02-29,34.9
2020-03-31,34.9
2020-04-30,36.8
2020-05-31,34.5
2020-06-30,33.6
2020-07-31,33.2
2020-08-31,32.7
2020-09-30,32.3
2020-10-31,33.6
2020-11-30,33.9
2020-12-31,35.0
2021-01-31,35.2
2021-02-28,35.6
2021-03-31,34.9
2021-04-30,35.4
2021-05-31,35.1
2021-06-30,35.1
2021-07-31,35.5
2021-08-31,35.7
2021-09-30,36.1
2021-10-31,35.8
2021-11-30,37.3
2021-12-31,36.9
2022-01-31,36.1
2022-02-28,35.8
2022-03-31,34.4
2022-04-30,34.2
2022-05-31,34.0
2022-06-30,33.8
2022-07-31,33.5
2022-08-31,34.8
2022-09-30,34.8
2022-10-31,33.4
2022-11-30,33.3
2022-12-31,33.3
2023-01-31,32.3
2023-02-28,31.3
2023-03-31,31.0
2023-04-30,30.7
2023-05-31,31.2
2023-06-30,29.4
2023-07-31,29.6
2023-08-31,28.6
2023-09-30,27.6
2023-10-31,27.9
2023-11-30,27.1
2023-12-31,28.5
2024-01-31,27.9
2024-02-29,29.7
2024-03-31,32.0
2024-04-30,31.7
2024-05-31,32.0
2024-06-30,31.7
2024-07-31,31.3
2024-08-31,27.2
2024-09-30,27.3
2024-10-31,28.6
2024-11-30,28.1
2024-12-31,27.7
2025-01-31,27.0
2025-02-28,26.8
2025-03-31,26.8
2025-04-30,26.1
2025-05-31,26.2
2025-06-30,26.1
2025-07-31,26.3
2025-08-31,26.1
2025-09-30,26.9
2025-10-31,26.0
2025-11-30,25.3
2025-12-31,25.1
2026-01-31,24.9
2026-02-28,24.9
2026-03-31,24.9
2026-04-30,23.4
2026-05-31,21.3
2026-06-30,23.2
2026-07-31,22.5
