date,D30:ROSN.MAB2.P4ZZP
2019-01-31,122.0
2019-02-28,144.0
2019-03-31,144.0
2019-04-30,155.0
2019-05-31,65.0
2019-06-30,65.0
2019-07-31,50.0
2019-08-31,50.0
2020-02-29,0.0
2020-03-31,0.0
2020-04-30,0.0
2020-05-31,454.0
2020-06-30,859.0
2020-07-31,999.0
2020-08-31,644.0
2020-09-30,534.0
2020-10-31,465.0
2020-11-30,202.0
2020-12-31,107.0
2021-01-31,96.0
2021-02-28,68.0
2021-04-30,812.0
2021-05-31,812.0
2021-06-30,812.0
2021-07-31,740.0
2021-08-31,740.0
2021-09-30,740.0
2021-10-31,485.0
2021-11-30,485.0
2021-12-31,485.0
2022-01-31,485.0
2022-02-28,485.0
2022-03-31,485.0
2022-04-30,400.0
2022-05-31,400.0
2022-06-30,400.0
2022-07-31,400.0
2022-08-31,400.0
2022-09-30,400.0
2022-10-31,300.0
2022-11-30,300.0
2022-12-31,300.0
2023-01-31,300.0
2023-02-28,300.0
2023-03-31,300.0
2023-04-30,100.0
2023-05-31,100.0
2023-06-30,100.0
2023-07-31,100.0
2023-08-31,100.0
2023-09-30,100.0
2023-11-30,300.0
2023-12-31,300.0
2024-01-31,300.0
2024-02-29,280.0
2024-03-31,280.0
2024-04-30,280.0
2024-05-31,250.0
2024-06-30,200.0
2024-07-31,150.0
2024-08-31,200.0
2024-09-30,200.0
2024-10-31,200.0
2024-11-30,200.0
2024-12-31,200.0
2025-01-31,200.0
2025-02-28,200.0
2025-03-31,200.0
2025-04-30,200.0
2025-05-31,200.0
2025-06-30,120.0
2025-07-31,120.0
2025-08-31,120.0
2025-09-30,120.0
2025-10-31,120.0
2025-11-30,120.0
2025-12-31,120.0
2026-01-31,60.0
2026-02-28,60.0
2026-03-31,60.0
2026-04-30,60.0
2026-05-31,60.0
2026-06-30,60.0
