date,L2:LIQ.MBA5.ZZZZZR4
2019-01-31,371861.0
2019-02-28,373986.0
2019-03-31,378284.0
2019-04-30,380591.0
2019-05-31,378870.0
2019-06-30,380236.0
2019-07-31,383803.0
2019-08-31,381998.0
2019-09-30,387308.0
2019-10-31,388282.0
2019-11-30,389615.0
2019-12-31,389298.0
2020-01-31,388303.0
2020-02-29,393029.0
2020-03-31,401277.0
2020-04-30,404533.0
2020-05-31,403477.0
2020-06-30,401393.0
2020-07-31,402860.0
2020-08-31,403738.0
2020-09-30,404489.0
2020-10-31,406109.0
2020-11-30,404304.0
2020-12-31,407593.0
2021-01-31,402677.0
2021-02-28,402542.0
2021-03-31,406783.0
2021-04-30,406940.0
2021-05-31,406378.0
2021-06-30,413933.0
2021-07-31,419246.0
2021-08-31,418282.0
2021-09-30,426214.0
2021-10-31,429157.0
2021-11-30,431554.0
2021-12-31,439305.0
2022-01-31,440023.0
2022-02-28,443243.0
2022-03-31,449321.0
2022-04-30,451121.0
2022-05-31,449127.0
2022-06-30,455898.0
2022-07-31,458777.0
2022-08-31,460190.0
2022-09-30,464139.0
2022-10-31,464701.0
2022-11-30,468681.0
2022-12-31,470526.0
2023-01-31,465000.0
2023-02-28,469177.0
2023-03-31,470083.0
2023-04-30,470507.0
2023-05-31,468163.0
2023-06-30,471799.0
2023-07-31,475219.0
2023-08-31,475816.0
2023-09-30,475624.0
2023-10-31,476884.0
2023-11-30,479052.0
2023-12-31,481816.0
2024-01-31,479587.0
2024-02-29,478005.0
2024-03-31,479336.0
2024-04-30,480069.0
2024-05-31,478485.0
2024-06-30,478146.0
2024-07-31,482177.0
2024-08-31,478334.0
2024-09-30,479532.0
2024-10-31,484103.0
2024-11-30,486455.0
2024-12-31,492601.0
2025-01-31,489997.0
2025-02-28,491785.0
2025-03-31,494546.0
2025-04-30,496765.0
2025-05-31,494593.0
2025-06-30,496644.0
2025-07-31,502146.0
2025-08-31,499828.0
2025-09-30,505068.0
2025-10-31,509979.0
2025-11-30,510823.0
2025-12-31,515031.0
2026-01-31,513776.0
2026-02-28,515716.0
2026-03-31,519655.0
2026-04-30,524248.0
2026-05-31,522566.0
2026-06-30,524898.0
2026-07-31,525269.0
