date,D9:BTO.WAF.N3704
2023-12-15,1192.0
2023-12-22,977.0
2023-12-29,611.0
2024-01-05,645.0
2024-01-12,1565.0
2024-01-19,1463.0
2024-01-26,1755.0
2024-02-02,1219.0
2024-02-09,1132.0
2024-02-16,1805.0
2024-02-23,1700.0
2024-03-01,1612.0
2024-03-08,840.0
2024-03-15,955.0
2024-03-22,1167.0
2024-03-29,990.0
2024-04-05,1541.0
2024-04-12,812.0
2024-04-19,1230.0
2024-04-26,812.0
2024-05-03,1216.0
2024-05-10,830.0
2024-05-17,1029.0
2024-05-24,1633.0
2024-05-31,464.0
2024-06-07,1779.0
2024-06-14,1154.0
2024-06-21,1134.0
2024-06-28,2030.0
2024-07-05,1539.0
2024-07-12,1745.0
2024-07-19,1477.0
2024-07-26,693.0
2024-08-02,976.0
2024-08-09,638.0
2024-08-16,1199.0
2024-08-23,1177.0
2024-08-30,1920.0
2024-09-06,1256.0
2024-09-13,705.0
2024-09-20,754.0
2024-09-27,1270.0
2024-10-04,2408.0
2024-10-11,902.0
2024-10-18,948.0
2024-10-25,1826.0
2024-11-01,2315.0
2024-11-08,2302.0
2024-11-15,916.0
2024-11-22,1076.0
2024-11-29,1379.0
2024-12-06,817.0
2024-12-13,1716.0
2024-12-20,1877.0
2024-12-27,444.0
2025-01-03,706.0
2025-01-10,2349.0
2025-01-17,1509.0
2025-01-24,1205.0
2025-01-31,1748.0
2025-02-07,1669.0
2025-02-14,1302.0
2025-02-21,1632.0
2025-02-28,1734.0
2025-03-07,1912.0
2025-03-14,1694.0
2025-03-21,1113.0
2025-03-28,1860.0
2025-04-04,2151.0
2025-04-11,1744.0
2025-04-18,1003.0
2025-04-25,1577.0
2025-05-02,2453.0
2025-05-09,871.0
2025-05-16,1304.0
2025-05-23,1792.0
2025-05-30,2649.0
2025-06-06,1759.0
2025-06-13,1344.0
2025-06-20,1431.0
2025-06-27,3186.0
2025-07-04,1275.0
2025-07-11,2196.0
2025-07-18,2466.0
2025-07-25,4093.0
2025-08-01,2631.0
2025-08-08,5290.0
2025-08-15,2926.0
2025-08-22,2552.0
2025-08-29,1112.0
2025-09-05,961.0
2025-09-12,1281.0
2025-09-19,869.0
2025-09-26,2942.0
2025-10-03,1337.0
2025-10-10,884.0
2025-10-17,1207.0
2025-10-24,706.0
2025-10-31,779.0
2025-11-07,1609.0
2025-11-14,1908.0
2025-11-21,1174.0
2025-11-28,2633.0
2025-12-05,1566.0
2025-12-12,1355.0
2025-12-19,987.0
2025-12-26,592.0
2026-01-02,283.0
2026-01-09,1293.0
2026-01-16,1698.0
2026-01-23,1723.0
2026-01-30,2988.0
2026-02-06,3013.0
2026-02-13,2932.0
2026-02-20,4945.0
2026-02-27,1760.0
2026-03-06,5842.0
2026-03-13,2219.0
2026-03-20,3568.0
2026-03-27,3769.0
2026-04-03,1870.0
2026-04-10,4056.0
2026-04-17,4069.0
2026-04-24,2338.0
2026-05-01,1184.0
2026-05-08,4461.0
2026-05-15,1968.0
2026-05-22,1142.0
2026-05-29,1136.0
2026-06-05,1368.0
2026-06-12,2256.0
2026-06-19,1424.0
2026-06-26,1388.0
2026-07-03,1499.0
2026-07-10,1124.0
2026-07-17,2348.0
2026-07-24,2570.0
2026-07-31,3079.0
2026-08-07,2069.0
2026-08-14,1750.0
2026-08-21,2370.0
2026-08-28,1520.0
2026-09-04,1463.0
