date,D9:BTO.WAF.N2504
2023-12-15,898.0
2023-12-22,1186.0
2023-12-29,404.0
2024-01-05,1282.0
2024-01-12,689.0
2024-01-19,1299.0
2024-01-26,690.0
2024-02-02,1712.0
2024-02-09,1291.0
2024-02-16,1565.0
2024-02-23,1241.0
2024-03-01,1391.0
2024-03-08,1449.0
2024-03-15,1073.0
2024-03-22,1678.0
2024-03-29,955.0
2024-04-05,807.0
2024-04-12,530.0
2024-04-19,1709.0
2024-04-26,577.0
2024-05-03,1333.0
2024-05-10,1414.0
2024-05-17,1079.0
2024-05-24,1809.0
2024-05-31,2472.0
2024-06-07,2490.0
2024-06-14,2136.0
2024-06-21,1408.0
2024-06-28,3090.0
2024-07-05,3507.0
2024-07-12,3634.0
2024-07-19,2140.0
2024-07-26,2633.0
2024-08-02,1752.0
2024-08-09,1877.0
2024-08-16,983.0
2024-08-23,497.0
2024-08-30,828.0
2024-09-06,1172.0
2024-09-13,1065.0
2024-09-20,1366.0
2024-09-27,1266.0
2024-10-04,3444.0
2024-10-11,1981.0
2024-10-18,2987.0
2024-10-25,1125.0
2024-11-01,1498.0
2024-11-08,1312.0
2024-11-15,1536.0
2024-11-22,1088.0
2024-11-29,1021.0
2024-12-06,999.0
2024-12-13,317.0
2024-12-20,258.0
2024-12-27,122.0
2025-01-03,423.0
2025-01-10,767.0
2025-01-17,603.0
2025-01-24,419.0
2025-01-31,195.0
2025-02-07,159.0
2025-02-14,603.0
2025-02-21,695.0
2025-02-28,480.0
2025-03-07,1166.0
2025-03-14,635.0
2025-03-21,869.0
2025-03-28,798.0
2025-04-04,1746.0
2025-04-11,1495.0
2025-04-18,47.0
