date,D30:ROSN.MAB2.P1ZZW
2019-01-31,34029.0
2019-02-28,34859.0
2019-03-31,32706.0
2019-04-30,31736.0
2019-05-31,31817.0
2019-06-30,30987.0
2019-07-31,32049.0
2019-08-31,32190.0
2019-09-30,33199.0
2019-10-31,33567.0
2019-11-30,33704.0
2019-12-31,33549.0
2020-01-31,34031.0
2020-02-29,33702.0
2020-03-31,31775.0
2020-04-30,29418.0
2020-05-31,29042.0
2020-06-30,31338.0
2020-07-31,33981.0
2020-08-31,32343.0
2020-09-30,33366.0
2020-10-31,31821.0
2020-11-30,33751.0
2020-12-31,33389.0
2021-01-31,34279.0
2021-02-28,36076.0
2021-03-31,35938.0
2021-04-30,34323.0
2021-05-31,31220.0
2021-06-30,32954.0
2021-07-31,35002.0
2021-08-31,36562.0
2021-09-30,39714.0
2021-10-31,42471.0
2021-11-30,44527.0
2021-12-31,46137.0
2022-01-31,46646.0
2022-02-28,48254.0
2022-03-31,48746.0
2022-04-30,48707.0
2022-05-31,49086.0
2022-06-30,49685.0
2022-07-31,50817.0
2022-08-31,51527.0
2022-09-30,51784.0
2022-10-31,53437.0
2022-11-30,57586.0
2022-12-31,59375.0
2023-01-31,60652.0
2023-02-28,60470.0
2023-03-31,63240.0
2023-04-30,61939.0
2023-05-31,64401.0
2023-06-30,66330.0
2023-07-31,68535.0
2023-08-31,70556.0
2023-09-30,71591.0
2023-10-31,72097.0
2023-11-30,72390.0
2023-12-31,73869.0
2024-01-31,74975.0
2024-02-29,79401.0
2024-03-31,80356.0
2024-04-30,83351.0
2024-05-31,78977.0
2024-06-30,80874.0
2024-07-31,80819.0
2024-08-31,86275.0
2024-09-30,89613.0
2024-10-31,94575.0
2024-11-30,94332.0
2024-12-31,95919.0
2025-01-31,96990.0
2025-02-28,101164.0
2025-03-31,102537.0
2025-04-30,101667.0
2025-05-31,103235.0
2025-06-30,105830.0
2025-07-31,110862.0
2025-08-31,109531.0
2025-09-30,106708.0
2025-10-31,108865.0
2025-11-30,111642.0
2025-12-31,111176.0
2026-01-31,109369.0
2026-02-28,112389.0
2026-03-31,113160.0
2026-04-30,115263.0
2026-05-31,114244.0
2026-06-30,111344.0
2026-07-31,118400.0
