date,NZDM:bond_wavg_long
2025-01-23,5.0367
2025-01-30,4.9542
2025-02-05,5.0855
2025-02-20,5.053
2025-02-27,4.9612
2025-03-06,5.0758
2025-03-13,5.2532
2025-03-20,5.1898
2025-03-27,5.2552
2025-04-10,4.5278
2025-04-17,4.6278
2025-04-24,4.6722
2025-05-01,5.1969
2025-05-08,5.1148
2025-05-15,5.1395
2025-05-23,5.163
2025-05-29,4.756
2025-06-05,5.2574
2025-06-12,4.6542
2025-06-19,5.2495
2025-06-26,4.9505
2025-07-10,4.517
2025-07-17,5.0288
2025-07-24,5.2905
2025-07-31,4.4053
2025-08-07,4.9232
2025-08-14,4.605
2025-08-21,4.8811
2025-08-28,4.3334
2025-09-04,4.4241
2025-09-18,4.1284
2025-09-25,3.9823
2025-10-02,4.1817
2025-10-09,3.9889
2025-10-16,4.9075
2025-10-23,4.8678
2025-10-30,4.9993
2025-11-06,5.02
2025-11-13,5.0497
2025-11-27,4.094
2025-12-04,5.0923
2025-12-11,5.1403
2026-01-15,4.3141
2026-01-22,4.4526
2026-01-29,5.1812
2026-02-05,5.1097
2026-02-12,4.4289
2026-02-19,4.2829
2026-02-26,4.1602
2026-03-05,4.3548
2026-03-12,4.9885
2026-03-19,5.0071
2026-03-26,5.3127
2026-04-02,4.6981
2026-04-09,4.5478
2026-04-16,5.249
2026-04-23,5.2955
2026-04-30,5.0494
2026-05-07,5.173
2026-05-14,5.2856
2026-05-21,4.7114
2026-05-29,5.1271
2026-06-04,4.6404
2026-06-11,4.2618
2026-06-18,4.2184
2026-06-25,4.9615
2026-07-02,5.0981
2026-07-09,4.4708
2026-07-23,5.314
2026-07-30,5.0718
2026-08-06,5.285
2026-08-13,4.6758
2026-08-20,4.5867
2026-08-27,5.1287
2026-09-03,4.8797
2026-09-10,5.2691
