date,ecp_on_issue
2020-04-30,530.526
2020-05-31,1004.353
2020-06-30,1280.735
2020-07-31,1748.993
2020-08-31,1837.87
2020-09-30,1131.3
2020-10-31,674.7
2020-11-30,1185.911
2020-12-31,1951.017
2021-01-31,2050.781
2021-02-28,1081.78
2021-03-31,1709.83
2021-04-30,1510.2
2021-05-31,1620.2
2021-06-30,1331.809
2021-07-31,1674.0
2021-08-31,1774.836
2021-09-30,1774.804
2021-10-31,1810.585
2021-11-30,1396.846
2021-12-31,1653.981
2022-01-31,2314.39
2022-02-28,2481.315
2022-03-31,1727.599
2022-04-30,1283.825
2022-05-31,1592.4
2022-06-30,1392.1
2022-07-31,1612.391
2022-08-31,1574.0
2022-09-30,1327.6
2022-10-31,1406.2
2022-11-30,1752.1
2022-12-31,1419.003
2023-01-31,1277.056
2023-02-28,2061.1
2023-03-31,1872.5
2023-04-30,1803.119
2023-05-31,2102.202
2023-06-30,1938.75
2023-07-31,2128.824
2023-08-31,2332.283
2023-09-30,3046.131
2023-10-31,4402.571
2023-11-30,6769.195
2023-12-31,7836.862
2024-01-31,9712.2
2024-02-29,9546.687
2024-03-31,10072.865
2024-04-30,9874.884
2024-05-31,9582.6
2024-06-30,13313.671
2024-07-31,13431.891
2024-08-31,11558.85
2024-09-30,10153.38
2024-10-31,9348.339
2024-11-30,10429.95
2024-12-31,12709.7
2025-01-31,14484.61
2025-02-28,12523.543
2025-03-31,11731.85
2025-04-30,10591.553
2025-05-31,9922.468
2025-06-30,9409.067
2025-07-31,9384.681
2025-08-31,6686.067
2025-09-30,6857.0
2025-10-31,7857.664
2025-11-30,7189.52
2025-12-31,6210.42
2026-01-31,5551.568
2026-02-28,5968.504
2026-03-31,6358.75
2026-04-30,6072.589
2026-05-31,5951.464
2026-06-30,6787.041
2026-07-31,5428.095
2026-08-31,5611.797
