date,C5:CRDS.MALP2
2019-01-31,16995.0
2019-02-28,17024.0
2019-03-31,16897.0
2019-04-30,16934.0
2019-05-31,16827.0
2019-06-30,16837.0
2019-07-31,16680.0
2019-08-31,16712.0
2019-09-30,16701.0
2019-10-31,16651.0
2019-11-30,16802.0
2019-12-31,16945.0
2020-01-31,16829.0
2020-02-29,16846.0
2020-03-31,16243.0
2020-04-30,14895.0
2020-05-31,14963.0
2020-06-30,15138.0
2020-07-31,14938.0
2020-08-31,14751.0
2020-09-30,14908.0
2020-10-31,14949.0
2020-11-30,15155.0
2020-12-31,15145.0
2021-01-31,14949.0
2021-02-28,14882.0
2021-03-31,14665.0
2021-04-30,14718.0
2021-05-31,14688.0
2021-06-30,14595.0
2021-07-31,14501.0
2021-08-31,13994.0
2021-09-30,13727.0
2021-10-31,13836.0
2021-11-30,14181.0
2021-12-31,14198.0
2022-01-31,14049.0
2022-02-28,13988.0
2022-03-31,13796.0
2022-04-30,13711.0
2022-05-31,13688.0
2022-06-30,13661.0
2022-07-31,13628.0
2022-08-31,13613.0
2022-09-30,13711.0
2022-10-31,13838.0
2022-11-30,14035.0
2022-12-31,14160.0
2023-01-31,14132.0
2023-02-28,14207.0
2023-03-31,14153.0
2023-04-30,14210.0
2023-05-31,14162.0
2023-06-30,14243.0
2023-07-31,14265.0
2023-08-31,14278.0
2023-09-30,14381.0
2023-10-31,14438.0
2023-11-30,14758.0
2023-12-31,14836.0
2024-01-31,14788.0
2024-02-29,14813.0
2024-03-31,14751.0
2024-04-30,14713.0
2024-05-31,14600.0
2024-06-30,14574.0
2024-07-31,14507.0
2024-08-31,14558.0
2024-09-30,14650.0
2024-10-31,14677.0
2024-11-30,14726.0
2024-12-31,14645.0
2025-01-31,14602.0
2025-02-28,14635.0
2025-03-31,14590.0
2025-04-30,14537.0
2025-05-31,14518.0
2025-06-30,14257.0
2025-07-31,14153.0
2025-08-31,14252.0
2025-09-30,14325.0
2025-10-31,14364.0
2025-11-30,14663.0
2025-12-31,14645.0
2026-01-31,14634.0
2026-02-28,14664.0
2026-03-31,14535.0
2026-04-30,14455.0
2026-05-31,14460.0
2026-06-30,14487.0
2026-07-31,14425.0
