date,R3:UGEN.MR70081
2019-01-31,665.0
2019-02-28,2601.0
2019-03-31,0.0
2019-04-30,0.0
2019-05-31,0.0
2019-06-30,0.0
2019-07-31,900.0
2019-08-31,1000.0
2019-09-30,0.0
2019-10-31,1050.0
2019-11-30,0.0
2019-12-31,600.0
2020-01-31,605.0
2020-02-29,411.0
2020-03-31,1462.0
2020-04-30,1082.0
2020-05-31,1244.0
2020-06-30,896.0
2020-07-31,886.0
2020-08-31,895.0
2020-09-30,302.0
2020-10-31,303.0
2020-11-30,478.0
2020-12-31,1762.0
2021-01-31,2245.0
2021-02-28,2476.0
2021-03-31,4108.0
2021-04-30,4433.0
2021-05-31,4724.0
2021-06-30,4872.0
2021-07-31,6042.0
2021-08-31,8062.0
2021-09-30,8327.0
2021-10-31,8244.0
2021-11-30,8221.0
2021-12-31,8932.0
2022-01-31,9901.0
2022-02-28,10398.0
2022-03-31,11814.0
2022-04-30,11842.0
2022-05-31,12551.0
2022-06-30,14325.0
2022-07-31,14694.0
2022-08-31,16020.0
2022-09-30,16759.0
2022-10-31,18494.0
2022-11-30,21023.0
2022-12-31,21031.0
2023-01-31,21227.0
2023-02-28,21201.0
2023-03-31,21279.0
2023-04-30,21610.0
2023-05-31,21488.0
2023-06-30,21142.0
2023-07-31,21204.0
2023-08-31,21270.0
2023-09-30,21498.0
2023-10-31,21578.0
2023-11-30,21468.0
2023-12-31,20537.0
2024-01-31,20403.0
2024-02-29,20445.0
2024-03-31,20070.0
2024-04-30,18906.0
2024-05-31,18809.0
2024-06-30,18773.0
2024-07-31,18170.0
2024-08-31,15951.0
2024-09-30,16802.0
2024-10-31,17316.0
2024-11-30,15704.0
2024-12-31,15111.0
2025-01-31,13789.0
2025-02-28,13229.0
2025-03-31,11549.0
2025-04-30,11440.0
2025-05-31,10628.0
2025-06-30,8557.0
2025-07-31,8155.0
2025-08-31,6724.0
2025-09-30,9609.0
2025-10-31,5841.0
2025-11-30,6136.0
2025-12-31,6261.0
2026-01-31,7275.0
2026-02-28,6992.0
2026-03-31,9261.0
2026-04-30,4474.0
2026-05-31,6564.0
2026-06-30,7100.0
2026-07-31,7518.0
