date,R1:RBNZ.MRL138
2019-01-31,382.0
2019-02-28,773.0
2019-03-31,208.0
2019-04-30,1399.0
2019-05-31,301.0
2019-06-30,478.0
2019-07-31,198.0
2019-08-31,356.0
2019-09-30,226.0
2019-10-31,418.0
2019-11-30,170.0
2019-12-31,278.0
2020-01-31,552.0
2020-02-29,369.0
2020-03-31,819.0
2020-04-30,1646.0
2020-05-31,1029.0
2020-06-30,502.0
2020-07-31,520.0
2020-08-31,1148.0
2020-09-30,715.0
2020-10-31,1503.0
2020-11-30,1664.0
2020-12-31,102.0
2021-01-31,519.0
2021-02-28,1302.0
2021-03-31,761.0
2021-04-30,882.0
2021-05-31,795.0
2021-06-30,1013.0
2021-07-31,322.0
2021-08-31,890.0
2021-09-30,301.0
2021-10-31,822.0
2021-11-30,100.0
2021-12-31,89.0
2022-01-31,194.0
2022-02-28,113.0
2022-03-31,188.0
2022-04-30,185.0
2022-05-31,94.0
2022-06-30,173.0
2022-07-31,108.0
2022-08-31,128.0
2022-09-30,112.0
2022-10-31,96.0
2022-11-30,495.0
2022-12-31,94.0
2023-01-31,431.0
2023-02-28,314.0
2023-03-31,410.0
2023-04-30,355.0
2023-05-31,369.0
2023-06-30,213.0
2023-07-31,257.0
2023-08-31,804.0
2023-09-30,1041.0
2023-10-31,976.0
2023-11-30,421.0
2023-12-31,277.0
2024-01-31,494.0
2024-02-29,1179.0
2024-03-31,1180.0
2024-04-30,748.0
2024-05-31,1279.0
2024-06-30,124.0
2024-07-31,2244.0
2024-08-31,354.0
2024-09-30,999.0
2024-10-31,2230.0
2024-11-30,302.0
2024-12-31,2604.0
2025-01-31,4534.0
2025-02-28,4296.0
2025-03-31,180.0
2025-04-30,826.0
2025-05-31,798.0
2025-06-30,112.0
2025-07-31,171.0
2025-08-31,1252.0
2025-09-30,1039.0
2025-10-31,1038.0
2025-11-30,1683.0
2025-12-31,127.0
2026-01-31,1268.0
2026-02-28,180.0
2026-03-31,2080.0
2026-04-30,1087.0
2026-05-31,931.0
2026-06-30,94.0
2026-07-31,203.0
