date,D9:BTO.WAF.I4009
2023-12-15,20.0
2023-12-22,5.0
2023-12-29,3.0
2024-01-05,0.0
2024-01-12,5.0
2024-01-19,10.0
2024-01-26,30.0
2024-02-02,46.0
2024-02-09,341.0
2024-02-16,41.0
2024-02-23,55.0
2024-03-01,6.0
2024-03-08,776.0
2024-03-15,17.0
2024-03-22,12.0
2024-03-29,54.0
2024-04-05,42.0
2024-04-12,48.0
2024-04-19,85.0
2024-04-26,12.0
2024-05-03,11.0
2024-05-10,47.0
2024-05-17,4.0
2024-05-24,22.0
2024-05-31,46.0
2024-06-07,1031.0
2024-06-14,397.0
2024-06-21,195.0
2024-06-28,795.0
2024-07-05,166.0
2024-07-12,529.0
2024-07-19,357.0
2024-07-26,305.0
2024-08-02,52.0
2024-08-09,2.0
2024-08-16,3.0
2024-08-23,49.0
2024-08-30,32.0
2024-09-06,49.0
2024-09-13,38.0
2024-09-20,25.0
2024-09-27,23.0
2024-10-04,45.0
2024-10-11,40.0
2024-10-18,44.0
2024-10-25,52.0
2024-11-01,62.0
2024-11-08,50.0
2024-11-15,43.0
2024-11-22,74.0
2024-11-29,53.0
2024-12-06,38.0
2024-12-13,82.0
2024-12-20,68.0
2024-12-27,41.0
2025-01-03,4.0
2025-01-10,70.0
2025-01-17,25.0
2025-01-24,30.0
2025-01-31,16.0
2025-02-07,36.0
2025-02-14,56.0
2025-02-21,64.0
2025-02-28,99.0
2025-03-07,71.0
2025-03-14,159.0
2025-03-21,272.0
2025-03-28,263.0
2025-04-04,184.0
2025-04-11,480.0
2025-04-18,444.0
2025-04-25,145.0
2025-05-02,327.0
2025-05-09,298.0
2025-05-16,186.0
2025-05-23,142.0
2025-05-30,239.0
2025-06-06,232.0
2025-06-13,163.0
2025-06-20,98.0
2025-06-27,378.0
2025-07-04,129.0
2025-07-11,255.0
2025-07-18,140.0
2025-07-25,154.0
2025-08-01,112.0
2025-08-08,165.0
2025-08-15,356.0
2025-08-22,163.0
2025-08-29,59.0
2025-09-05,340.0
2025-09-12,225.0
2025-09-19,249.0
2025-09-26,802.0
2025-10-03,451.0
2025-10-10,170.0
2025-10-17,292.0
2025-10-24,224.0
2025-10-31,80.0
2025-11-07,218.0
2025-11-14,67.0
2025-11-21,151.0
2025-11-28,283.0
2025-12-05,117.0
2025-12-12,177.0
2025-12-19,130.0
2025-12-26,5.0
2026-01-02,8.0
2026-01-09,124.0
2026-01-16,58.0
2026-01-23,50.0
2026-01-30,5.0
2026-02-06,111.0
2026-02-13,92.0
2026-02-20,53.0
2026-02-27,52.0
2026-03-06,2.0
2026-03-13,60.0
2026-03-20,26.0
2026-03-27,33.0
2026-04-03,478.0
2026-04-10,469.0
2026-04-17,256.0
2026-04-24,135.0
2026-05-01,240.0
2026-05-08,287.0
2026-05-15,1271.0
2026-05-22,745.0
2026-05-29,1022.0
2026-06-05,840.0
2026-06-12,1484.0
2026-06-19,479.0
2026-06-26,302.0
2026-07-03,523.0
2026-07-10,536.0
2026-07-17,442.0
2026-07-24,297.0
2026-07-31,380.0
2026-08-07,877.0
2026-08-14,450.0
2026-08-21,587.0
2026-08-28,645.0
2026-09-04,549.0
